Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Indonesia,6.363168724,5.958254269,5.514627147,5.419315192,5.560307956,5.739729787,5.836410888,6.051250386,6.639623047,7.437938718,8.345759871,9.136986426,9.808080374,10.83560726,12.52304048,14.64091951,17.11085701,19.74403632,22.36145219,24.86513369,26.88087882
Iran,8.03314121,7.207494943,6.667291823,6.321133219,6.018288793,5.747055937,5.559025609,5.426389478,4.950207167,5.904095251,6.425006087,6.813794693,7.255443614,8.366737304,10.06091665,12.09262436,14.46722689,16.74822209,20.03095056,25.27664531,29.7662926
Iraq,4.746945899,5.163043478,5.776464267,6.335053965,6.460618146,6.369967725,6.006399069,5.755395683,5.96765198,6.124796319,6.136977334,5.94052311,5.617688649,6.273646169,6.530509329,7.05203887,8.167752105,9.507055719,10.99444761,12.50250518,14.19770638
Ireland,15.29492455,15.2835408,16.59574468,16.30510847,16.72331747,16.75062972,16.09467456,15.89103292,16.78043231,16.73087507,16.57949791,16.46778043,17.34381826,18.67049651,20.18706157,22.06870799,24.04744788,26.45833333,29.09395973,31.09954457,32.14739517
Israel,6.568144499,7.540603248,8.285163776,9.463722397,10.7093185,12.23150358,12.42697823,13.27821012,13.5361552,14.54278369,14.68009094,14.71284784,16.15803815,17.57375381,18.82804995,19.79475485,20.8423795,22.17373234,23.46,24.63683905,25.75471698
Italy,12.83301118,14.01196636,15.33756763,16.53712647,18.18778248,19.63417213,19.58439589,21.44735494,23.55003404,25.51959921,27.15840141,27.9864838,29.44952344,30.64484958,32.28927358,34.8138003,37.66285038,40.29409812,41.7889939,42.19337784,41.98150504
Jamaica,6.527777778,7.061790668,7.438016529,8.496732026,9.081419624,9.046692607,9.88909427,9.844559585,10.47381546,10,10.36866359,10.86637298,11.11908178,12.02531646,13.69294606,16.39344262,19.17063222,21.54582763,22.97577855,24.48835568,26.1627907
Japan,8.426939665,8.755160158,9.470487759,10.2883132,11.4252947,12.9068106,14.48046914,16.75964932,19.62365163,22.71255884,25.73922447,29.122479,33.20238168,35.90068641,37.51764817,39.1456908,41.14464271,44.0210851,45.8004559,46.93773547,47.43048589
Jordan,7.01754386,6.853582555,6.018518519,5.410447761,4.701397713,4.444444444,4.664179104,5.104408353,4.88118176,4.188991719,4.780196329,5.438401776,5.705229794,6.183745583,6.933115824,8.320726172,10.2291519,12.55585344,14.98510004,17.79591837,20.08673369
Kazakhstan,10.22825773,9.470886688,9.069857198,9.562398703,10.16924209,10.83777504,10.64132402,10.90975879,12.2228739,12.34507898,13.43782117,12.63078281,12.79815958,14.23562412,16.06777348,17.97476834,19.26383073,20.81107598,22.31699417,24.10647204,26.57575432
