Total population male,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Thailand,10337087,10635976,10945242,11265511,11597419,11941622,12298798,12669641,13054826,13454951,13870364,14300982,14746128,15204466,15674192,16153607,16642061,17138610,17640869,18146006,18651801,19156710,19660364,20163192,20666258,21170129,21674429,22177965,22679517,23177568,23670846,24157575,24637112,25110554,25579740,26045241,26507188,26962634,27405289,27826945,28221395,28590144,28934529,29248645,29525245,29761656,29950368,30099179,30239206,30412435,30647287,30957971,31331513,31735675,32123519,32461177,32738163,32965070,33154645,33327947,33500563,33674843,33845728,34012883,34174511,34329336,34478155,34622218,34761030,34893760,35019777,35138980,35251520,35357295,35456226,35548241,35633348,35711491,35782474,35846055,35902115,35950644,35991857,36026150,36054060,36076044,36092366,36103183,36108730,36109231,36104924,36096076,36082980,36065942,36045273,36021282,35994269,35964523,35932326,35897947,35861649
Timor-Leste,219399,221998,224813,227826,231024,234400,237954,241690,245618,249751,254100,258671,263457,268440,273593,278900,284123,289220,294573,300715,307894,316695,326679,335859,341542,342005,336240,325374,312443,301715,296236,297122,303391,313420,324651,335200,344450,352932,361243,370387,380952,393527,407487,420807,430732,435525,434092,427653,419604,414705,416317,425743,441815,462404,484230,504896,523804,541700,559123,577044,596157,616503,637725,659668,682092,704817,727784,751040,774630,798637,823107,848041,873374,899006,924810,950684,976596,1002548,1028521,1054502,1080490,1106470,1132449,1158473,1184606,1210900,1237365,1264005,1290857,1317965,1345356,1373037,1400996,1429206,1457633,1486242,1514999,1543872,1572831,1601847,1630894
Togo,655015,672935,683969,691747,698986,707487,718089,730716,744511,758064,770082,780115,789183,800049,816451,840852,874539,916145,962207,1007782,1049301,1085815,1118434,1148187,1176875,1205990,1235386,1265014,1296623,1332419,1373888,1421725,1475279,1532986,1592533,1652117,1711758,1771697,1830668,1887174,1940414,1989219,2034482,2079992,2130964,2190962,2261611,2341336,2426585,2512147,2594255,2671750,2745802,2817778,2889954,2963992,3040105,3117672,3196550,3276418,3357021,3438379,3520559,3603386,3686634,3770124,3853768,3937540,4021396,4105315,4189271,4273210,4357084,4440889,4524632,4608312,4691902,4775359,4858646,4941719,5024538,5107059,5189247,5271075,5352523,5433559,5514142,5594211,5673690,5752492,5830536,5907754,5984089,6059490,6133903,6207272,6279531,6350606,6420415,6488865,6555856
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,23989,25197,26192,27087,27973,28912,29944,31081,32314,33616,34957,36317,37702,39148,40705,42390,44256,46243,48121,49584,50427,50532,50004,49128,48313,47852,47864,48248,48806,49238,49334,49030,48428,47682,47022,46609,46491,46612,46909,47279,47646,48001,48362,48708,49017,49278,49472,49602,49706,49835,50026,50290,50612,50968,51323,51649,51946,52221,52460,52651,52789,52862,52881,52887,52939,53075,53313,53640,54026,54429,54815,55177,55524,55863,56206,56563,56932,57309,57690,58075,58461,58846,59230,59606,59970,60318,60647,60956,61243,61505,61740,61947,62127,62280,62406,62509,62589,62648,62688,62711,62720
Trinidad and Tobago,316999,322990,330124,338662,348664,359999,372326,385107,397652,409176,419003,426771,432618,437258,441761,446897,452943,459647,466622,473260,479152,484181,488603,492826,497427,502825,509073,516029,523669,531909,540632,549946,559725,569326,577906,584887,589961,593361,595718,597959,600752,604311,608418,612795,616989,620676,623808,626521,628888,631033,633057,634965,636747,638475,640233,642079,644042,646111,648254,650418,652560,654668,656738,658737,660627,662375,663964,665381,666603,667609,668380,668905,669181,669215,669019,668603,667970,667123,666070,664825,663400,661800,660033,658112,656055,653873,651575,649162,646639,644006,641265,638415,635458,632391,629214,625923,622513,618979,615311,611501,607536
Tunisia,1758800,1775495,1802803,1837092,1875512,1916001,1957317,1999002,2041283,2084901,2130601,2178592,2228068,2277010,2322755,2363700,2398705,2429129,2458943,2493655,2537201,2591032,2653937,2723919,2797786,2873147,2949448,3027281,3106723,3188124,3271663,3356960,3443508,3531205,3619996,3709678,3800097,3890696,3980370,4067741,4151729,4231931,4308287,4380526,4448478,4512083,4571344,4626413,4677627,4725464,4770447,4812616,4852423,4891316,4931123,4973165,5018066,5065582,5115056,5165389,5215740,5265961,5316223,5366353,5416200,5465623,5514418,5562439,5609674,5656167,5701897,5746835,5790778,5833333,5873998,5912408,5948417,5982082,6013504,6042881,6070379,6096020,6119820,6141943,6162595,6181946,6200066,6216998,6232845,6247710,6261663,6274738,6286929,6298205,6308512,6317790,6325972,6332985,6338753,6343196,6346228
Turkey,10722000,10989324,11292627,11624757,11979385,12351000,12734921,13127287,13525033,13925839,14328000,14730279,15131780,15531895,15930457,16328193,16721810,17112990,17513346,17938506,18398482,18899944,19436611,19989744,20532950,21047805,21526002,21974569,22409020,22852473,23321102,23820638,24344172,24880087,25411098,25925043,26418100,26895292,27363939,27835130,28316914,28810452,29312920,29823512,30340369,30861536,31387773,31918104,32446615,32965578,33469543,33955785,34425859,34883920,35336367,35787845,36239335,36689238,37136536,37579409,38016436,38447430,38872654,39291599,39703706,40108486,40505553,40894622,41275433,41647772,42011415,42366170,42711765,43047809,43373869,43689623,43994791,44289351,44573568,44847870,45112538,45367668,45613047,45848279,46072816,46286276,46488513,46679682,46860071,47030118,47190150,47340298,47480527,47610711,47730708,47840442,47939927,48029283,48108737,48178624,48239383
Turkmenistan,593610,601889,613642,628238,645165,664030,684565,706622,730154,755190,781753,809770,838996,868982,899166,929152,958685,987847,1016998,1046689,1077303,1108976,1141527,1174646,1207879,1240915,1273716,1306451,1339271,1372406,1406070,1440300,1475184,1511056,1548324,1587292,1627744,1669578,1713300,1759560,1808600,1860957,1915878,1970751,2022066,2067400,2105623,2137675,2165763,2193173,2222309,2253867,2287163,2321568,2355961,2389539,2422202,2454332,2486145,2517980,2550061,2582408,2614865,2647264,2679371,2710987,2742053,2772525,2802237,2831001,2858672,2885190,2910550,2934744,2957787,2979713,3000503,3020200,3038973,3057050,3074604,3091700,3108335,3124526,3140270,3155561,3170413,3184832,3198788,3212235,3225129,3237436,3249128,3260176,3270550,3280210,3289103,3297165,3304321,3310481,3315544
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,2572472,2645038,2716719,2788358,2860873,2935251,3012564,3093953,3180595,3273632,3373980,3482126,3597943,3720615,3848856,3981553,4118890,4260724,4405234,4550105,4693846,4835697,4976548,5118644,5265188,5418624,5580295,5750054,5927123,6110066,6298208,6490838,6689435,6898063,7122128,7365246,7629144,7912018,8209557,8515519,8825271,9138070,9455063,9775881,10100559,10429546,10762314,11099837,11446028,11806088,12183925,12581157,12997383,13431978,13883480,14350824,14834030,15333684,15849857,16382656,16932048,17497751,18079329,18676360,19288340,19914689,20554968,21208490,21874091,22550389,23236191,23930731,24633482,25343796,26061089,26784799,27514292,28249001,28988543,29732613,30480861,31232764,31987783,32745538,33505680,34267792,35031345,35795726,36560319,37324468,38087497,38848722,39607447,40362953,41114500,41861310,42602572,43337436,44065017,44784390,45494596
Ukraine,16008784,16308549,16613471,16919294,17222906,17522338,17816830,18106764,18393482,18678969,18964919,19251739,19537672,19818423,20088224,20342948,20580721,20802642,21011225,21210441,21403147,21590430,21771293,21944097,22106344,22256503,22394062,22520487,22638617,22752337,22864517,22974820,23082415,23188864,23295968,23404142,23513579,23621234,23720096,23800930,23856363,23885969,23889604,23860931,23792542,23680507,23521784,23321451,23094038,22859472,22632885,22419761,22218689,22029423,21849345,21676537,21512307,21358465,21213778,21076311,20944479,20817727,20695936,20578397,20464392,20353200,20244346,20137163,20030528,19923161,19814073,19702771,19589161,19473204,19355057,19234908,19112763,18988729,18863282,18737052,18610627,18484211,18358114,18233155,18110310,17990322,17873475,17759768,17649267,17541919,17437600,17336131,17237271,17140705,17046029,16952737,16860217,16767745,16674491,16579511,16481754
United Arab Emirates,35269,33215,34030,36114,38320,39951,40783,41043,41348,42595,45656,51035,58578,67349,75985,83740,90138,96198,104486,118473,140647,171437,210036,256081,308784,367178,431896,502141,573763,641321,701103,751266,793332,831151,870404,915282,967314,1025534,1088678,1154523,1221650,1289445,1359118,1433177,1515045,1606971,1709304,1820574,1938864,2061406,2185719,2311529,2438004,2561421,2677199,2782122,2874574,2955406,3027038,3093246,3156964,3218771,3278305,3336488,3394210,3452143,3510934,3570743,3631098,3691166,3750352,3808605,3866213,3923311,3980111,4036770,4093307,4149678,4205904,4262001,4317973,4373832,4429563,4485105,4540375,4595305,4649865,4704047,4757830,4811196,4864129,4916608,4968612,5020118,5071107,5121560,5171463,5220806,5269581,5317786,5365422
United Kingdom,24574999,24554863,24570717,24609779,24663187,24726000,24797426,24880594,24981861,25109654,25271005,25467855,25693817,25932791,26162891,26368002,26541675,26686872,26808500,26915504,27014400,27106435,27188895,27259961,27316765,27357801,27383171,27395546,27399194,27399745,27401780,27406660,27414999,27429631,27453564,27488800,27537137,27598073,27668323,27743023,27818600,27894634,27972200,28051085,28131372,28213493,28296585,28381448,28472232,28574475,28691997,28826235,28975620,29137176,29306422,29479845,29656300,29835948,30018068,30202183,30387717,30574162,30760599,30945638,31127674,31305577,31478432,31646394,31810747,31973456,32135872,32298380,32460289,32620581,32777774,32930785,33079421,33224001,33364590,33501389,33634635,33764352,33890725,34014389,34136156,34256695,34376288,34495069,34613369,34731503,34849713,34968151,35086883,35205906,35325169,35444583,35564034,35683381,35802462,35921087,36039044
Tanzania,3731416,3829355,3932773,4041277,4154588,4272545,4395108,4522355,4654465,4791703,4934345,5082618,5236631,5396354,5561688,5732688,5909204,6091642,6281264,6479719,6688131,6907244,7136631,7374818,7619650,7869654,8124376,8384560,8651400,8926642,9211601,9507173,9813252,10129008,10453120,10784944,11122700,11467386,11824324,12200741,12600993,13028698,13480192,13943741,14403103,14847123,15271842,15682293,16087469,16500725,16932315,17384853,17857064,18350706,18866819,19406177,19969630,20557745,21170307,21806639,22465721,23147577,23850883,24571495,25304066,26044460,26790817,27543061,28301092,29065506,29836695,30614041,31396823,32185310,32980014,33781279,34588954,35402734,36222608,37048575,37880532,38718227,39561282,40409270,41261683,42117978,42977720,43840352,44705028,45570783,46436741,47302189,48166554,49029339,49890059,50748172,51603060,52454014,53300234,54140829,54974818
United States,78830426,79767672,80891382,82155699,83520145,84949619,86414511,87890588,89358669,90804073,92214974,93580648,94889934,96130577,97291094,98366259,99346352,100239440,101080900,101919476,102790877,103710583,104671373,105658607,106647474,107620971,108579267,109533442,110490453,111460299,112452053,113465935,114505117,115585131,116725330,117938897,119233758,120605189,122037843,123509003,125002103,126506624,128026092,129574186,131171650,132830082,134556802,136336816,138132568,139893261,141583107,143187050,144716919,146197121,147665250,149149200,150653788,152171307,153702177,155244097,156794402,158354858,159924506,161493996,163050749,164585030,166092686,167573789,169027996,170456469,171859743,173236816,174585539,175904192,177190868,178444312,179663794,180849811,182003970,183128654,184225808,185296297,186340348,187358575,188351489,189319736,190264207,191185996,192086217,192966078,193826773,194669447,195495210,196305166,197100446,197882236,198651792,199410444,200159596,200900729,201635396
Virgin Islands (U.S.),13141,13456,13834,14173,14414,14545,14601,14664,14852,15305,16146,17434,19125,21055,22990,24762,26295,27644,28925,30320,31947,33847,35946,38110,40148,41924,43384,44566,45541,46420,47281,48158,49015,49786,50373,50715,50782,50622,50346,50108,50016,50115,50370,50722,51072,51351,51543,51672,51755,51820,51887,51959,52026,52081,52115,52122,52100,52052,51980,51886,51772,51639,51486,51316,51131,50932,50721,50496,50259,50007,49740,49458,49162,48849,48517,48164,47790,47396,46983,46551,46103,45639,45159,44665,44160,43644,43119,42585,42045,41500,40950,40397,39843,39286,38729,38172,37615,37059,36504,35952,35403
Uruguay,1132285,1142513,1153768,1166016,1179195,1193209,1207930,1223197,1238824,1254605,1270334,1285835,1300980,1315694,1329937,1343624,1356876,1369534,1380919,1390148,1396682,1400188,1401107,1400640,1400458,1401784,1405048,1409972,1416206,1423114,1430217,1437524,1445200,1453086,1461001,1468831,1476429,1483842,1491382,1499495,1508471,1518315,1528820,1539787,1550934,1561980,1573052,1584015,1594028,1602002,1607247,1609338,1608724,1606675,1604980,1604944,1607019,1610870,1616053,1621804,1627557,1633226,1639008,1644942,1651122,1657599,1664355,1671289,1678275,1685153,1691801,1698160,1704232,1710026,1715578,1720914,1726020,1730872,1735483,1739869,1744040,1747999,1751736,1755239,1758485,1761461,1764162,1766589,1768742,1770621,1772227,1773561,1774624,1775418,1775945,1776209,1776215,1775970,1775482,1774762,1773821
Uzbekistan,3056677,3118871,3196925,3287199,3386933,3494250,3608200,3728714,3856476,3992696,4138453,4293985,4458072,4627774,4799175,4969597,5137186,5302919,5470378,5644775,5829583,6026517,6233604,6446188,6657662,6863455,7061646,7254179,7445046,7640139,7843662,8056896,8278314,8505916,8736560,8967943,9198656,9429229,9661491,9898194,10140778,10390060,10643702,10896149,11139951,11369711,11583497,11782620,11969002,12145984,12316246,12480393,12638270,12791054,12940023,13086393,13230706,13373824,13517615,13664259,13815310,13971413,14132261,14297173,14464960,14634513,14805594,14977773,15149448,15318637,15483741,15643963,15798993,15948351,16091721,16228832,16359421,16483236,16600116,16709964,16812810,16908595,16997591,17080607,17158720,17232801,17303140,17369836,17433325,17494042,17552288,17608194,17661732,17712750,17761017,17806256,17848162,17886407,17920643,17950499,17975582
Vanuatu,24918,25642,26339,27038,27760,28519,29324,30174,31066,31989,32936,33904,34901,35948,37074,38297,39625,41048,42544,44081,45635,47193,48758,50338,51948,53596,55290,57016,58735,60393,61956,63413,64785,66109,67440,68822,70251,71727,73300,75033,76961,79130,81509,83969,86327,88461,90313,91945,93499,95183,97147,99437,102003,104778,107653,110547,113444,116364,119309,122288,125306,128357,131431,134521,137625,140738,143857,146979,150103,153228,156355,159481,162605,165726,168845,171961,175073,178180,181282,184379,187471,190556,193632,196698,199749,202785,205802,208799,211772,214717,217630,220508,223350,226155,228920,231645,234328,236968,239561,242106,244599
Venezuela,2579313,2681291,2792998,2912343,3037606,3167439,3300875,3437318,3576506,3718450,3863244,4010875,4161042,4313090,4466211,4620071,4774263,4929628,5088626,5254567,5429878,5614866,5808919,6012297,6225046,6446764,6678262,6918467,7162758,7405001,7640912,7868185,8088221,8305011,8524533,8750987,8985595,9226546,9471343,9716224,9958419,10197252,10433499,10667584,10900381,11132555,11364055,11594636,11824579,12054232,12283854,12513490,12743101,12972748,13202475,13432255,13662061,13891716,14120846,14348961,14575641,14800670,15023900,15245046,15463818,15679961,15893262,16103561,16310729,16514671,16715288,16912448,17106021,17295916,17482058,17664370,17842749,18017106,18187401,18353609,18515687,18673587,18827209,18976403,19120988,19260823,19395901,19526216,19651630,19771987,19887214,19997363,20102595,20203150,20299314,20391385,20479662,20564439,20646003,20724638,20800620
Vietnam,13609788,13838503,14090343,14362527,14653006,14960454,15284318,15624773,15982587,16358907,16754601,17169554,17602060,18048557,18504369,18965900,19430112,19896713,20368044,20847991,21338423,21844376,22362790,22878199,23369641,23824455,24231758,24602018,24969735,25382692,25873511,26458213,27122345,27830904,28532840,29192103,29794359,30352979,30892871,31451662,32055356,32711864,33408441,34125607,34834798,35515238,36160745,36777381,37371395,37953603,38531991,39107096,39675950,40239063,40796565,41348402,41895514,42437865,42973171,43498243,44010916,44510245,44997271,45474239,45944414,46410165,46871791,47328495,47780164,48226403,48666643,49100862,49528363,49946988,50353953,50747065,51125349,51488635,51836545,52168977,52485820,52786694,53071253,53339542,53591742,53828022,54048411,54252935,54441799,54615268,54773606,54917058,55045857,55160238,55260462,55346827,55419678,55479409,55526466,55561343,55584584
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",2179200,2215944,2256595,2299807,2344596,2390343,2436813,2484134,2532742,2583286,2636345,2692128,2750209,2809413,2868139,2925299,2981226,3036609,3091273,3145048,3198330,3250736,3303813,3362256,3432203,3518089,3621892,3742666,3878263,4025115,4180552,4345086,4519680,4702689,4892065,5086859,5283904,5484576,5697783,5935716,6205926,6513051,6851183,7204430,7550684,7874186,8169216,8440789,8697098,8951149,9212710,9483642,9761553,10047029,10339855,10639902,10948034,11265006,11590255,11922786,12261806,12606979,12958342,13315855,13679559,14049299,14424860,14805551,15190135,15577067,15965094,16353595,16742337,17130947,17519182,17906817,18293484,18678905,19063100,19446207,19828299,20209190,20588672,20966763,21343527,21718936,22092795,22464800,22834649,23201991,23566440,23927589,24285003,24638217,24986724,25329973,25667363,25998244,26321916,26637630,26944585
