Air accidents affected,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,169,0,33
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,45,0,0,0,0
United Kingdom,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,67,45,0,0,127,0,0,11,0,29,12,0,0,0,0,0,0,11,0,0,0,0,0,0
United States,0,0,0,0,0,112,0,0,144,0,0,0,153,0,0,0,117,240,23,395,277,123,83,177,407,39,361,29,0,327,107,330,0,34,0,19,67,10,10
Uruguay,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
USSR,0,0,176,0,0,0,0,0,0,0,163,0,0,269,150,230,0,0,121,144,53,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,15,0,0
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,65,0,0,0,0,0,0,0,38,0,40,0,0,41,152,0,0,60
Vietnam,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,29,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0
West Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
