General government expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Malta,67.5056239,68.41730768,69.53313544,70.29563621,69.82884606,72.4668572,69.38720539,69.59659091,69.95739837,68.41382901,68.62814128,69.28945707,66.87288136,64.88911704,64.78873239,65.47842402
Marshall Islands,82.78591182,85.63057604,86.39956869,85.36202025,85.45989218,87.95644416,85.97992632,85.07759873,83.16586649,83.46758247,82.76046034,83.57330172,83.51622339,82.10080227,83.96874346,83.23374869
Martinique,,,,,,,,,,,,,,,,
Mauritania,59.03460321,48.86059136,50.90139402,59.5457133,67.66994923,66.49598986,59.88986564,66.61141995,63.5392507,65.13378447,62.7296491,62.14653829,57.8990499,51.55892102,52.77037745,53.10590408
Mauritius,54.68747499,54.06656353,54.23072424,54.73150821,54.0209936,52.0484172,51.84280307,51.47668865,54.2428357,54.72999867,47.66243917,41.85714368,36.13271979,33.89067663,37.13356128,41.70403041
Mayotte,,,,,,,,,,,,,,,,
Mexico,42.134241,41.40598462,44.70669865,46.02396435,47.81004856,46.5617876,44.81149054,43.83336227,44.16715497,45.16149209,45.03389549,45.21756137,45.39881815,46.97985915,48.3439575,
"Micronesia, Fed. Sts.",95.17419319,94.54390041,93.82613507,93.06133051,93.61334717,93.85381008,94.41103232,93.93775875,94.89843716,95.3333718,93.38837517,92.53513657,92.87180323,90.36679594,90.69510262,91.15729174
Moldova,64.24038637,65.3369055,64.25943764,56.22927137,49.28682993,48.54817151,45.09411542,50.09659483,47.61076598,49.28898965,45.6241468,44.41042557,45.19848546,47.22557124,48.51539195,45.7946152
Monaco,89.53724943,89.5425065,89.23037454,88.11596797,87.55791371,87.10011268,87.3965424,87.18192391,88.11653278,88.05218682,88.19350672,87.97279574,87.33133632,87.71007295,87.97433732,88.05038976
Mongolia,79.48423266,83.44085975,82.18158691,83.12103345,82.44803683,81.88695396,84.23007448,78.60693529,79.33429446,85.82180571,78.9209913,72.10757858,65.98393566,56.57433803,54.84588317,55.09131459
Montenegro,71.01242774,70.8479684,71.13537132,71.01809669,70.47896157,69.05602508,70.4894499,68.59956202,72.96559482,71.92177097,69.21818004,68.04521879,69.22651718,70.41380253,71.28664367,67.17141504
Montserrat,,,,,,,,,,,,,,,,
Morocco,32.22901458,31.86714502,27.97561469,29.22346431,28.8351324,29.41595343,32.16736689,25.97439354,26.56234868,27.40900459,28.37450667,32.7553114,36.30797173,36.87399935,38.75018245,37.95632475
Mozambique,67.13550626,60.88212425,64.87236191,65.19260947,68.80709157,72.37948622,72.49497436,75.16664697,72.84094741,69.67630491,74.45973555,72.84106247,73.26265392,71.26624363,73.05073432,71.73672395
