Annual population growth rate (%),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Latvia,0.666,1.025,1.322,0.807,0.806,0.448,0.528,0.643,-1.328,-0.972,-0.701,-0.457,-0.391,-0.407,-0.483,-0.502,-0.559,-0.525,-0.47,-0.444
Least developed countries,2.01,2.187,2.325,2.505,2.538,2.542,2.552,2.587,2.65,2.443,2.364,2.3,2.218,2.078,1.907,1.743,1.586,1.441,1.299,1.153
Lebanon,2.232,3.151,2.911,2.236,2.278,0.342,0.75,0.567,3.202,1.551,1.576,0.83,0.79,0.713,0.639,0.512,0.35,0.21,0.116,0.032
Lesotho,1.415,1.556,1.839,2.023,2.141,2.397,2.566,1.68,1.483,1.803,1.099,0.873,0.792,0.69,0.545,0.449,0.362,0.297,0.241,0.192
Less developed regions,2.029,2.078,2.303,2.479,2.365,2.145,2.129,2.086,1.823,1.616,1.47,1.371,1.283,1.154,0.998,0.851,0.727,0.625,0.519,0.405
"Less developed regions, excluding China",2.1,2.319,2.403,2.426,2.434,2.428,2.415,2.269,2.066,1.87,1.732,1.611,1.491,1.348,1.194,1.047,0.916,0.804,0.69,0.57
"Less developed regions, excluding least developed countries",2.031,2.064,2.3,2.476,2.341,2.092,2.07,2.015,1.7,1.488,1.324,1.21,1.113,0.976,0.813,0.66,0.533,0.43,0.324,0.208
Liberia,2.067,2.945,3.05,2.967,2.676,3.11,2.961,-0.436,-2.163,7.463,3.319,4.144,2.572,2.374,2.18,1.99,1.809,1.639,1.476,1.32
Libya,1.802,3.614,3.698,4.117,4.249,4.336,4.573,2.51,2.044,2.014,2.048,2,1.789,1.457,1.124,0.9,0.813,0.784,0.698,0.545
Liechtenstein,1.507,2.201,2.443,2.639,1.73,1.591,1.48,1.322,1.304,1.199,1.097,0.832,0.75,0.715,0.674,0.599,0.494,0.402,0.327,0.302
Lithuania,0.472,1.109,1.342,1.101,1.006,0.665,0.755,0.847,-0.369,-0.726,-0.489,-0.965,-0.7,-0.548,-0.488,-0.517,-0.574,-0.619,-0.616,-0.597
Luxembourg,0.599,0.582,1.085,0.458,1.133,0.288,0.14,0.809,1.352,1.342,1.204,1.161,1.119,1.113,1.122,1.101,1.012,0.909,0.831,0.784
Madagascar,2.152,2.305,2.432,2.55,2.716,2.751,2.559,2.845,3.037,3.04,2.849,2.686,2.521,2.338,2.145,1.953,1.768,1.592,1.429,1.274
Malawi,1.906,2.153,2.379,2.562,3.103,3.275,3.127,5.258,1.414,3.077,2.866,2.781,2.743,2.639,2.434,2.204,1.978,1.791,1.638,1.499
Malaysia,2.721,3.018,3.094,2.657,2.435,2.317,2.604,2.878,2.578,2.446,1.932,1.705,1.469,1.274,1.066,0.872,0.756,0.646,0.531,0.412
