Male contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
San Marino,,,,,,,,,,,,,,,,0.200000003,0.200000003,0.1000000015,0.1000000015,0.1000000015,,0,0,0,0,0,0,0
Sao Tome and Principe,,,,,,,,,,,,0.8000000119,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,25.29999924,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,3.400000095,4.099999905,3.599999905,3.099999905
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,14.80000019,,,
Singapore,,,,,,,0.8999999762,1.200000048,0.6999999881,0.5,,0.400000006,0.3000000119,0.3000000119,0.400000006,0.8000000119,0.5,0.3000000119,0.400000006,0.5,0.200000003,0.400000006,0.400000006,0.3000000119,0.3000000119,,0.400000006,0.400000006
Slovak Republic,,,,,,,,,,,,,,,0,0,0.1000000015,0.1000000015,0,0.1000000015,0.1000000015,0.1000000015,0,0.1000000015,0.1000000015,0,0,0.1000000015
Slovenia,,,,,,,,,,,,,,2,3.5,3,3.200000048,5,5.099999905,4.400000095,3.299999952,3.799999952,3.200000048,3.099999905,4.300000191,3.099999905,3.299999952,3.099999905
South Africa,,,,,,,,,,,,,,,,,,,,,,0.8000000119,0.6999999881,0.5,0.400000006,,,0.3000000119
Spain,3.5,3.599999905,3.599999905,3.599999905,3.900000095,3.700000048,3.599999905,3.900000095,3.799999952,3.400000095,3,2.799999952,2.5,2.5,2.400000095,2.299999952,2.099999905,1.700000048,1.700000048,1.399999976,1.200000048,1,1,0.8999999762,0.8000000119,1.100000024,0.8999999762,0.6999999881
Sri Lanka,,,,,,,,,,,,,,,,,,5.5,6.800000191,6.199999809,6.5,5.5,5.300000191,4.199999809,4.5,3.200000048,4.400000095,4.400000095
Suriname,,,,,,,,,,,,,,,,0.3000000119,1.600000024,1,0.8999999762,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,0.8000000119,,,,,,,,,,
Sweden,0.200000003,0.200000003,0.3000000119,0.200000003,0.200000003,0.200000003,0.1000000015,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.3000000119,0.400000006,0.400000006,0.400000006,0.3000000119,0.3000000119,0.200000003,0.200000003,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.200000003,0.200000003,0.3000000119
Switzerland,,,,,,,,,,,,1.700000048,1.600000024,1.899999976,1.899999976,1.799999952,2,1.700000048,1.899999976,1.799999952,1.700000048,1.899999976,1.899999976,1.700000048,1.399999976,1.299999952,1.399999976,1.700000048
Syria,,,,,,,,,,,,,,,,,,,,,,10.80000019,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,3,,,,,9.699999809,
Thailand,,,,,,,,26.70000076,29,28.79999924,27,24.79999924,25.5,21.5,21.60000038,18.5,16.29999924,18.10000038,18.39999962,16.5,16.39999962,15.60000038,15.89999962,16,14.69999981,13.5,13.89999962,14
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,6.199999809,6.699999809,7.400000095,9.399999619,7.800000191,7,6.400000095,6.400000095,7.099999905,7
Tonga,,,,,,,,,,,,,,,,,29.70000076,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,3.099999905,3.299999952,2.799999952,2.5,2,2.200000048,2,2.099999905,1.700000048,1.100000024,1.100000024,0.6999999881,0.8000000119,0.6000000238,0.400000006,0.5,0.3000000119,0.3000000119,0.3000000119,,
Tunisia,,,,,,,,,,5.699999809,,,,,1,,,,,,,,,,,,,
Turkey,,,,,,,,,13.5,13.30000019,13,15,14.69999981,14.5,14.30000019,13.60000038,13.39999962,12.60000038,11.80000019,12.5,10.39999962,10.80000019,9.300000191,8.199999809,8.899999619,7,6,5.599999905
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,0.200000003,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,19.89999962,10.30000019,,,,
Ukraine,,,,,,,,,,,,,,,,0.200000003,0.1000000015,0.200000003,0.1000000015,0.6999999881,0.8000000119,0.8999999762,1.5,1.100000024,0.5,0.5,0.5,0.400000006
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,0.1000000015,1.5,1.799999952,2,2.299999952,2.299999952,2.099999905,2,1.799999952,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.3000000119,0.200000003,0.200000003,0.200000003
United States,0.3000000119,0.200000003,0.3000000119,0.200000003,0.200000003,0.200000003,0.1000000015,0.200000003,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0.1000000015,0,0.1000000015
Uruguay,,,,,,,,,,,,,,,,,,,0.6999999881,0.8000000119,0.8000000119,0.6000000238,0.8999999762,0.8999999762,,0.6999999881,1,0.8999999762
Venezuela,,,,,,,,,,,,,,,1.700000048,1.100000024,1.399999976,0.6999999881,1.299999952,1.899999976,1.399999976,1.799999952,1.899999976,2,,,0.8000000119,0.6000000238
Vietnam,,,,,,,,,,,,,,,,,29.5,22.89999962,22.20000076,22.5,21.20000076,21.89999962,23.60000038,21.89999962,18.89999962,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,9.399999619,6.800000191,5,4.5,5.199999809,6,6.599999905,7,6.400000095,6,6.599999905,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,0.3000000119,,,,,,,,
Zambia,2.400000095,,,,,,,,,,27.79999924,17,,,,,12.89999962,,15.69999981,,25.39999962,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,16.39999962,,,13.30000019,,13.69999981,,,10.39999962,,,,,
