High-technology exports (% of manufactured exports),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Lithuania,,,,,0.4004816233,,5.284503433,3.664078576,3.584610154,3.792669688,3.290601838,3.296374656,4.458263805,4.990611202,3.770408263,4.790428512,4.721934472,6.153892776,8.057471159,10.84503636,11.14479194,9.994402174,10.60837644,
Luxembourg,,,,,,,,,,,,14.60051333,16.5583382,19.16557463,15.45934331,12.02214484,10.51130393,11.85670443,11.58417634,8.755123023,6.419478995,8.775215648,8.365462677,
"Macao, China",,1.638138716,1.554793936,1.785477494,1.916677992,1.807783128,1.341315932,1.944736718,1.929760662,1.882283235,0.8269180738,0.8566556909,0.8722446422,0.9255613841,0.67288791,0.5479954762,0.4724305619,0.7177490183,0.7369329303,1.055445421,2.052478747,4.316742757,0,
"Macedonia, FYR",,,,,,,2.168902902,3.228197922,1.565032502,2.240889585,1.940070259,0.8799658743,1.24289113,1.092945261,1.376599842,1.346641154,1.170544564,1.083859252,1.112986628,0.8315026289,,2.948865718,,
Madagascar,,,8.068183947,1.429880681,0.9421644351,9.027483472,1.863798326,1.213205481,2.224000568,0.8587618216,18.28430704,3.306115321,0.5722684315,0.9059698081,1.036023796,0.6470638292,0.5655367449,0.7824236021,1.168312073,1.064690813,0.6628076297,1.650341148,1.037539083,
Malawi,,,0.08873878419,0.1766268155,,,2.938974119,1.552205483,0.8379373403,0.8203544897,0.3590783353,0.7936460131,2.026180121,2.871106853,0.1600516701,0.3635432042,0.9560385014,3.096584097,1.814129386,1.376509936,1.877728848,2.814159984,1.290919694,
Malaysia,40.58434155,38.3759236,38.21144015,38.21017879,38.92988796,41.13287965,44.25144935,46.12426205,44.41279842,49.02141361,54.92272293,58.94622743,59.56927312,58.11105389,58.22125531,58.93914692,55.65766423,54.64561068,53.8397358,52.28431018,39.92064858,46.57393724,44.52124317,
Maldives,,,,,,,,,,,,,,,,,0,0,,,,,,
Mali,,,,,,,,,2.553684447,6.801520662,5.206887416,3.852016614,14.80774804,6.490053111,9.470103659,4.30057245,4.155231912,5.141066536,7.04840914,7.943730463,1.470042334,,2.397024089,
Malta,,,44.88861301,51.88263378,55.74472304,52.23626405,60.12046409,,58.88929328,55.99395274,60.41666812,61.72018003,71.74146342,61.68696685,58.98253371,60.00496664,58.13226449,51.99910812,58.11827901,52.43745356,50.23138339,47.98408744,59.56907667,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,0.5612793873,0.5013035513,0.4559602167,0.4826364928,0.9180001661,0.9633998073,0.5896132658,0.7703068686,1.210008821,1.153749648,1.051924855,1.243474047,2.305751429,5.278176301,4.513230758,1.806959664,24.1514873,8.247408811,7.244789144,1.859425045,0.6913555544,
Mayotte,,,,,,,,,,,,,1.956847595,1.708326502,2.402007937,2.55890832,5.410114936,3.876421486,17.65464147,13.93747447,1.642238142,2.410084318,,
