Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Slovenia,445562,463295.916,479831.0246,497700.4399,516374.7558,535927.5252,557721.5515,579504.7249,600020.6466,618753.0747,638278.6656,661923.2013,686034.2642,710671.5352,733542.516,760012.0129,791957.5754,822481.3098,852611.1478,883142.2517,913486.7918,921845.8691,929549.4211,941283.7009,952030.2404,962665.6078,977870.4936,992898.224,998795.1176,1002567.472,1006673.512,1008256.061,1007720.387,1006261.947,1006037.452,1007193.612,1007104.855,1006291.849,1004638.344,1005895.61,1009419.216,1009882.785,1010006.058,1009485.658,1009002.295,1009619.223,1010799.206,1014409.023,1013952.745,1021078.698,1023451.581,1024551.288
Solomon Islands,6861,7372.973132,7965.795936,8588.642482,9242.412032,9928.62045,10702.34018,11514.81641,12375.26935,13296.59305,14290.02752,14877.27826,15509.05464,16178.13107,16873.14217,17585.60875,18809.2158,20084.35476,21412.97414,22798.57856,24243.8936,25943.58642,27717.13788,29559.83972,31464.9753,33427.61246,35105.12467,36821.30587,38587.56988,40420.49338,42334.00779,44172.06602,46089.22582,48081.49632,50141.09093,52263.08256,54563.90704,56939.00551,59398.58293,61956.64863,64624.61652,68123.80952,71777.29377,75587.35784,79554.16709,83676.96855,88146.534,92787.03014,97592.01155,102551.3458,107656.5074,112994.9327
Somalia,487677,514672.9492,542377.5495,571271.9059,601463.8956,633054.8465,667477.2687,704703.7712,743300.6642,781021.7171,816681.4967,847588.7912,874521.0279,907810.7692,962684.5355,1050000.246,1164209.405,1311276.144,1471336.727,1615457.102,1722356.684,1782954.387,1802995.29,1796281.81,1785070.45,1786125.22,1808803.724,1844650.408,1887730.868,1927686.474,1957205.268,1976274.399,1986884.25,1996194.581,2014753.387,2050386.032,2107177.545,2182161.366,2270726.395,2365284.877,2459956.502,2554813.808,2649976.893,2745377.458,2841626.229,2939326.424,3041695.187,3145070.565,3251039.565,3361867.808,3479388.86,3608713.472
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,8106536,8390673.65,8652051.035,8899302.971,9137255.448,9370223.36,9599246.466,9830232.157,10065913.81,10308481.2,10559573.83,10819529.77,11084192.69,11352233.55,11622974.62,11896393.52,12172196.91,12447422.44,12729250.21,13029052.19,13353678,13735830.8,14139358.16,14562740.59,15003329.6,15457326.51,16030129.99,16610787.15,17191752.61,17764012.35,18317024,18874511.65,19452182.21,20050879.4,20671485.48,21314923.2,21986935.74,22692683.43,23434073.58,24213137.63,25032040,25762022.11,26335090.09,26890527.65,27430952.34,27967924.79,28502057.09,29037371.73,29583209.24,30128693.23,30767645.5,31357111.89
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,17237618,17677896.76,18133591.75,18588207.71,19071660.68,19580951.05,20089831.63,20649739.57,21236777.36,21765444.41,22330439.98,22821030.33,23272350.54,23730340.72,24208542.7,24718725.38,25234444.42,25770944.55,26364358.01,26838824.59,27251499.19,27578458.41,27834310.55,28074652.88,28298661.48,28511756.66,28686144.51,28844937.94,28996544.84,29141473.43,29274191.28,29380291.25,29516853.38,29648348.68,29767902.25,29877415.62,29978629.06,30089917.04,30227604.3,30416150.37,30705533.79,31090008.09,31579409.43,32144128.48,32707469.08,33286809.66,33889191.18,34527257.3,35101043.62,35426468.37,35605489.23,35799113.21
Sri Lanka,1590435,1695005.6,1765806.87,1814601.36,1895704.61,1967766.64,2059431.804,2151151.836,2249555.296,2344591.728,2441981.96,2475539.82,2508100.776,2552142.814,2588945.328,2629425.68,2653169.574,2677059.188,2704699.14,2738073.456,2769339.13,2764511.4,2805333.56,2821619.34,2830852.29,2849025.28,2874960.29,2893109.1,2906982.87,2920147,2926409.85,2943540.024,2944192.404,2954575.656,2968438.938,2981558.4,2987631.168,2998286.368,3005702.976,3021366.912,3000733.18,2930941.022,2928251.802,2944934.454,2962554.79,2971547.88,3000504.084,3024406.114,3047793.618,3079401.9,3106417.73,3156728.416
Sudan,1250107,963058.3979,1035071.169,1110194.855,1188599.568,1270521.925,1366280.272,1466501.993,1571927.06,1683562.337,1802344.206,1912728.14,2030472.12,2155450.016,2287266.688,2425505.668,2532891.579,2644652.192,2761427.776,2884141.537,3013241.566,3210592.755,3418471.505,3634372.075,3854333.636,4075622.087,4398298.24,4733200.827,5083571.839,5455194.511,5852754.28,6211611.709,6621014.603,7059633.157,7499901.168,7909350.851,8122867.024,8331088.779,8536858.448,8743187.22,8954446.656,9171364.699,9391151.643,9615024.506,9845361.711,10082729.64,10307028.89,10503222.06,10689849.11,10886721.14,11117427.27,11405783.89
Suriname,137170,140873.2691,144654.5021,148464.2714,152400.0908,156494.6847,160151.3058,163899.329,167310.2043,169819.8349,171063.0256,174383.591,176472.6775,177744.4394,178853.194,180313.0209,183783.1963,187720.7988,192050.7906,196578.1744,201161.95,203580.8233,206142.2275,208997.8281,212362.1939,216379.0026,221104.3117,226494.3343,232338.7338,238332.027,244239.7914,249931.1286,255496.8072,261002.473,266575.4992,272310.5056,278148.7858,284097.9131,290172.5205,296388.2854,302749.631,309206.3079,315800.1012,322433.9272,328974.6014,335320.8575,341282.8146,347024.0951,352610.0631,358145.7593,363709.1534,369126.8094
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,13616,15832.57403,18082.60783,20421.14086,22863.71011,25427.45182,28629.29261,31997.61516,35547.73131,39296.11954,43258.58175,48451.33493,53951.07406,59770.97664,65919.34598,72404.04096,78766.73225,85488.23131,92560.25513,99959.80375,107680.0871,115803.9821,124227.0018,133166.9093,142955.9723,153849.4601,161865.7614,170752.554,180077.1826,189209.8868,197683.8988,203549.4311,208549.4031,213002.4864,217401.8008,222088.4537,226130.5851,230401.6042,229876.7669,229350.2208,228821.9611,227660.1999,226495.062,225326.5387,224154.4008,222978.863,222048.4937,221117.3095,222403.3833,223686.5892,224991.659,227230.6366
Sweden,5423001,5519919.172,5619499.984,5720705.537,5833569.454,5959397.768,6078494.889,6187907.429,6285731.215,6393453.484,6517403.362,6589873.522,6636926.265,6675974.177,6723052.204,6777603.13,6808167.92,6838282.241,6864129.386,6885046.554,6904970.892,6913472.661,6917644.182,6920993.313,6927502.003,6939170.766,6955327.899,6978575.124,7010722.359,7057653.084,7112391.885,7173516.584,7228266.399,7282997.62,7347657.17,7399093.347,7414449.927,7422270.629,7429967.826,7439338.626,7454878.308,7480132.382,7509745.26,7542990.066,7577985.195,7613644.815,7669975.675,7740548.269,7814674.957,7895238.907,7976658.851,8054504.274
Switzerland,2734617,2807280.2,2915004.916,3014409.088,3101717.842,3175203.424,3245858.393,3324086.532,3404448.7,3481650.983,3545845.517,3564515.165,3591810.282,3618436.671,3637987.952,3636409.792,3612091.092,3596286.174,3593028.501,3596663.105,3607370.863,3730426.013,3856157.937,3977046.076,4096046.977,4219325.017,4345067.03,4476826.324,4615000.97,4758471.126,4914685.425,4981854.282,5042501.963,5094101.916,5140383.375,5180396.681,5199705.006,5208616.217,5220475.574,5241774.804,5267635.785,5303025.61,5345260.361,5387046.904,5426201.638,5463081.566,5500182.582,5552291.023,5626058,5699599.005,5763022.546,5828233.886
Syria,1700442,1764469.733,1854339.353,1948573.081,2047558.428,2151637.497,2262020.918,2377889.043,2499429.071,2626816.229,2760216.969,2878587.538,3002034.433,3130344.476,3263171.449,3400365.695,3540520.193,3685013.594,3835249.987,3993160.357,4160068.104,4328146.592,4504716.13,4688021.966,4875501.649,5065235.675,5253257.342,5442865.627,5634795.051,5830327.681,6030313.2,6239204.613,6453357.089,6670321.006,6886639.49,7100302.975,7328037.552,7553204.575,7784055.52,8032218.096,8305563.757,8608262.897,8936302.683,9278255.311,9617406.356,9941315.335,10215273.17,10496269.43,10784477.45,11080074.03,11383240.63,11673656.89
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,691390,725119.842,762471.2024,802000.9881,842531.7353,883191.5394,922233.1316,961192.8605,1000668.671,1041608.261,1084707.909,1111672.573,1139644.567,1168043.825,1196054.46,1223145.566,1249829.494,1275808.162,1301601.887,1327935.512,1355338.217,1385166.713,1415766.034,1447682.779,1481597.768,1517771.327,1551650.203,1587092.25,1621873.528,1653115.904,1678871.86,1685339.673,1685818.079,1681782.16,1675292.123,1667763.413,1664276.253,1659953.987,1654175.125,1646015.866,1634991.39,1650102.339,1663463.922,1676202.906,1689850.475,1705526.8,1725322.018,1747359.405,1771324.878,1796635.109,1822838.805,1852661.427
Tanzania,523790,560447.2477,593967.5382,629116.7442,665933.663,704474.9505,769767.7194,838449.4164,910825.8472,987296.1421,1068227.146,1195297.604,1330035.534,1472583.078,1622882.035,1780906.765,1950575.132,2128705.716,2315809.631,2512588.709,2719716.589,2891675.989,3072067.968,3260895.187,3457974.72,3663302.784,3872163.042,4089054.238,4316059.901,4556150.661,4811450.394,5059810.491,5322909.609,5596509.32,5874228.239,6151340.865,6432509.635,6713206.07,6996795.041,7288733.891,7593573.337,7921147.512,8263761.431,8622731.607,8999112.338,9394001.326,9824960.633,10278052.52,10754669.73,11256193.64,11783825.78,12359932.4
Thailand,5445488,5568508.057,5771934.035,5983164.592,6202159.938,6428810.562,6670537.05,6919689.995,7176231.118,7440173.709,7711257.279,8156821.67,8618419.723,9093762.017,9579567.698,10073140.4,10587199.34,11108120.94,11636472.53,12173724.83,12721074.89,13109380.46,13498574.92,13891420.46,14291805.11,14701737.87,15127583.22,15563876.78,15997873.85,16411685,16792882.35,17079377.78,17330843.22,17563334.18,17800444.78,18059681.53,18348233.86,18659621.01,18989054.87,19327705.86,19668370.68,20040349.83,20415659.75,20788924.75,21153459.48,21504257.9,21890927.71,22262049.43,22620186.23,22969968.12,23314929.53,23713057.18
Timor-Leste,50551,52596.08557,54854.24468,57200.82289,59641.08167,62178.22393,65073.39356,68020.66728,71082.09395,74352.80799,77880.66452,82026.54652,86513.31192,90882.4308,94457.46706,96746.04466,97621.69912,97026.24766,95737.01161,94978.2712,95717.93481,98650.27836,103382.1511,109461.7966,116052.4241,122487.213,128771.1597,134823.8243,140905.1377,147484.5755,154886.2809,162510.2197,170979.9925,179478.4307,186817.4798,192173.7828,194999.9594,195638.7513,195552.3415,196930.8764,201404.4941,209945.4778,221934.1639,236120.4364,250485.856,256399,268379.9818,280670.7696,293278.0249,306201.9846,319443.5592,333298.4825
Togo,158206,176392.3314,193552.0012,211463.6354,231285.632,254081.3795,285941.9171,322193.9593,362113.8704,404016.4137,446299.6944,467915.9015,488149.7082,507362.6771,526291.5507,545582.1262,565590.989,585879.4583,607297.4516,630974.0984,657742.7262,688965.2426,723604.7349,760984.7647,799991.6227,839711.6777,880986.3946,923164.6511,965560.2318,1007319.912,1047932.368,1087304.726,1125194.951,1163741.921,1206064.742,1254450.319,1310828.285,1373776.676,1441234.405,1509941.698,1577398.361,1643489.051,1708129.889,1772041.83,1836585.483,1902820.281,1971666.578,2042032.751,2113964.178,2187429.609,2262413.423,2340059.903
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,12031,11436.02777,12145.43816,12917.1252,13712.66677,14500.23636,15078.35604,15631.30736,16147.67333,16616.74223,17031.57003,17289.17406,17482.67709,17637.34014,17790.15042,17966.31591,18297.01701,18657.34502,19026.48029,19372.64455,19673.00846,19975.12322,20232.99331,20461.99158,20684.79071,20919.44992,21044.96173,21183.83021,21329.6735,21471.93758,21602.856,21668.5448,21726.59168,21783.348,21848.16912,21928.17648,22022.72746,22132.57883,22256.41205,22391.98214,22536.8022,22689.46126,22850.73468,23019.0365,23192.5415,23369.4153,23565.04998,23764.03411,23960.32948,24146.22083,24316.27344,24524.29096
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,145840,143416.4195,139998.2732,136056.1547,132048.4706,128250.9893,125691.9955,123292.13,120849.846,118107.0822,114919.0641,115123.6576,115056.8157,114850.3881,114687.8452,114699.9252,114888.7569,115223.7127,115712.3696,116351.8787,117124.866,116396.6146,115730.9659,114977.2982,113952.8267,112547.378,111206.2661,109523.9491,107620.0606,105653.855,103730.258,107139.9752,110657.7741,114246.1261,117837.132,121376.0455,125162.0003,128903.0894,132606.5465,136289.9339,139968.6431,143843.4615,147710.6539,151587.1282,155494.8153,159451.0909,163552.2552,167708.1134,171906.4781,176125.4528,180346.5546,184606.1266
Tunisia,1582763,1623416.356,1670546.17,1723138.979,1779775.498,1839221.2,1915060.596,1992478.914,2070869.28,2149856.671,2229322.14,2307378.882,2389032.339,2475874.63,2569237.979,2670162.68,2766899.915,2873016.015,2987056.75,3106154.277,3228324.96,3357762.176,3490895.843,3627336.986,3745580.292,3908905.742,4095502.938,4263638.382,4424090.93,4546372.341,4725148.624,4878757.391,5039366.923,5199876.847,5356977.534,5506533.55,5623149.981,5737000.98,5847200.45,5961037.184,6066319.32,6168970.803,6271215.218,6341711.741,6435082.771,6531687.12,6615746.838,6699076.516,6787120.19,6880113.984,6972744.118,7078245.08
Turkey,8893395,9262782.807,9660491.399,10066591.61,10479218.43,10897191.92,11403948.89,11919857.15,12448066.03,12993292.3,13559380.7,14101193.9,14664112.88,15246841.7,15846762.04,16462159.52,16997656.97,17544387.09,18107474.46,18694191.63,19309263.56,20540291.32,21827274.21,23160929.82,24525828.19,25909117.94,27111219.51,28319058.43,29537874.72,30777727.97,32046742.56,32924031.29,33815070.32,34719960.69,35638018.29,36568485.9,37476435.27,38396879.75,39326255.29,40259567.99,41193314.14,42058111.41,42920249.47,43784689.17,44658775.07,45547586.95,46666370.75,47804631.03,48957657.89,50118336.87,51280931.32,52585593.67
Turkmenistan,739384,768157.0606,798015.8809,828748.4059,859840.4894,890927.1,921438.6136,951769.7772,982260.0608,1013434.18,1045664.822,1075185.467,1105506.128,1136380.452,1167442.568,1198437.351,1228019.157,1257568.422,1287154.044,1316892.007,1346901.58,1373556.978,1400414.846,1427719.034,1455769.599,1484794.46,1515868,1547656.568,1580737.549,1615863.164,1653351,1698266.702,1745435.992,1792626.216,1836845.323,1875977.199,1921220.149,1961671.704,1998337.544,2032907.601,2066736.505,2100171.452,2132925.121,2165648.117,2199075.15,2233763.293,2272253.208,2312459.431,2354200.082,2397094.589,2440829.78,2488405.392
Turks and Caicos Islands,,2766.04416,2786.745204,2796.257388,2798.26827,2800.03248,2799.571892,2798.837064,2804.886852,2829.033136,2878.28992,2961.1005,3073.892512,3205.821864,3342.539736,3473.50398,3596.952906,3714.404804,3837.638942,3981.013876,4158.23975,4500.52225,4891.24764,5320.5189,5767.13688,6217.35939,6635.938656,7053.241332,7493.626818,7994.903196,8585.87307,9218.1936,9958.83885,10759.06512,11541.08284,12255.36024,12822.38212,13309.1742,13863.20216,14695.52669,15957.1215,17737.19834,19954.35266,22450.985,24987.03647,27372.87336,29453.66876,31340.94307,33017.46512,34489.6889,35768.17332,36702.00707
Tuvalu,,1028.344532,1089.933922,1153.603196,1217.930058,1281.49467,1348.89911,1415.014034,1480.186224,1545.269842,1611.02976,1683.66643,1756.81827,1830.90482,1905.15325,1979.73285,2059.954464,2140.442864,2222.816808,2308.889982,2400.96922,2505.75648,2617.213824,2732.491922,2848.387124,2962.02648,3105.93953,3247.45115,3386.44233,3524.02671,3661.11644,3742.192768,3821.858138,3901.292672,3979.157416,4057.1119,4111.326144,4164.499816,4218.855992,4275.331416,4334.43542,4397.423184,4464.11884,4531.77368,4598.016696,4660.8752,4719.397152,4774.320864,4826.533488,4876.955264,4928.04396,4978.800752
Uganda,298643,324794.2733,351452.203,379824.9003,409862.1471,441510.6517,475894.0438,512082.8719,549909.0748,589106.4138,629476.9085,655735.8862,682266.246,709383.8058,737555.8134,767158.3744,801062.3808,836792.06,874282.3095,913363.3889,953964.9495,1025339.167,1100188.877,1179300.317,1263793.406,1354597.862,1461773.81,1576655.644,1698738.466,1826957.801,1960420.655,2050037.742,2141782.096,2235580.713,2331452.885,2429528.277,2522459.905,2617305.525,2715153.91,2817481.274,2925429.158,3076851.859,3236784.113,3405226.197,3581885.362,3766565.906,4003165.211,4251226.087,4510992.084,4782682.234,5066513.449,5376189.047
Ukraine,20022449,20602580.89,21193450.63,21787610.69,22379409.26,22964511.36,23569738.61,24166350.08,24757568.36,25348865.38,25944110.66,26485784.85,27030287.11,27572329.6,28104105.06,28619951.07,29092063.19,29547336.01,29990957.56,30430939.33,30873367.3,31282962.23,31685590.69,32100959.91,32524888.84,32933624.77,33262205.31,33602762.4,33966043.59,34347140.11,34641542.44,34734129.77,34854421.5,34894011.62,34741510.99,34487999.04,34203108.78,33912520.28,33630236.23,33333897.59,33019122.9,32751583.06,32489931.08,32289041.39,32106227.08,31932581.19,31801165.8,31695191.84,31606840.31,31549273.7,31506290.3,31484189.92
United Arab Emirates,66322,72406.23939,81002.90999,91011.00695,101166.1857,110757.8681,119378.1245,128037.7934,139052.6733,155596.9924,180075.1755,212800.9993,253343.5421,302113.0531,359341.7967,424789.0171,498475.5126,580131.2825,664955.5882,746483.1929,820197.6188,879497.7051,929891.6999,975641.9229,1023018.707,1076555.96,1138078.221,1205884.16,1278567.877,1353739.092,1429749.587,1506929.519,1586264.968,1667909.705,1752116.689,1839352.259,1947083.997,2065412.661,2189771.422,2313360.166,2433951.839,2539746.209,2637809.887,2770135.521,2994356.124,3347527.874,3852252.619,4485193.589,5171978.946,5806816.721,6312974.51,6654542.464
United Kingdom,41060432,41352643.2,41638731,41884662.3,42090624,42294195.99,42451064.1,42602937.78,42733082.84,42833076.33,42925828.5,43168764.82,43378869.6,43526370,43617478.37,43677888.21,43756857.4,43832160.02,43924199.06,44053399.48,44195959.86,44201099.58,44175010.43,44179824.7,44239531.06,44329755.09,44404205.63,44470324.95,44540723.04,44628280.33,44733263.7,44896277.52,45042384.63,45175089.37,45314896.37,45459650.58,45610217.84,45762596.78,45931004.6,46119371.58,46319551.19,46531086.49,46744821.99,46976691.9,47257178.97,47581418.23,47935507.8,48305939.02,48689728.06,49082776.7,49478890.63,49884536.2
United States,126469700,129268132.7,131974142.7,134599886.4,137205240.3,139663053.4,141962708.2,144201721.6,146340364.4,148475900.6,150922373,152863830.6,154530472.7,156034106.3,157488073.5,159070593.7,160626384.5,162287511.9,164054048.4,165912796.6,167551170.5,169550591.7,171524952.3,173454025.5,175318908.1,177239104.6,179271771.4,181271907.4,183319482.2,185456834.8,187966119,191481318.9,195155851.2,198760059.3,202238643.6,205699755,209097696.1,212633197.4,216140988,219663636.5,223159429.2,226314934.9,229369011.2,232301606.5,235423072.5,238573505.5,241727711.6,244888319.6,248074383.8,251125014.3,254109115,256701884.9
Uruguay,2035321,2068693.278,2100246.816,2131162.093,2161414.991,2190899.872,2219599.084,2247503.051,2273437.808,2295857.678,2313813.491,2326524.045,2334879.493,2341153.408,2348532.913,2359344.273,2380094.128,2404634.119,2431995.308,2460521.321,2488964.401,2515940.036,2543048.035,2570252.866,2597620.007,2625207.306,2652713.414,2680202.186,2708006.266,2736596.615,2766279.117,2795694.71,2825874.795,2856611.958,2887610.98,2918531.733,2934597.645,2958410.444,2979523.282,2998363.714,3014498.895,3025326.533,3029452.451,3028850.253,3031155.063,3038785.868,3050322.947,3062520.68,3075389.578,3088963.275,3103262.606,3117432.557
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2909890,3037531.688,3174626.548,3317511.034,3463670.303,3611300.521,3761708.953,3913187.962,4067598.773,4227789.817,4395765.017,4595966.147,4805551.262,5022305.099,5242853.066,5464752.297,5667380.656,5870162.187,6075327.689,6286265.794,6505503.45,6676398.167,6852624.199,7033147.094,7216315.682,7400874.512,7567656.731,7734128.263,7901152.23,8070060.432,8239277.2,8344259.712,8467893.608,8586518.976,8679232.728,8758554,8880729.05,9001885.452,9099311.034,9148784.45,9226398.216,9306328.89,9382863.36,9454219.564,9524979.13,9597008.92,9689807.371,9803380.896,9936217.006,10079121.92,10340731.3,10635598.18
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,6638,6957.92601,7305.41844,7667.13558,8038.27864,8415.97423,8808.69762,9208.35448,9621.426752,10057.74481,10524.68725,11037.95631,11583.67743,12158.89656,12759.07619,13379.7297,14078.15584,14801.16523,15542.10072,16292.46477,17045.4834,17949.34858,18862.72166,19792.34958,20749.34783,21743.6166,22777.41745,23848.71177,24971.6795,26165.34373,27442.9274,28657.52797,29958.72542,31307.03431,32644.16847,33928.55132,35156.76521,36326.8936,37492.15452,38732.94917,40111.08802,41620.45061,43275.64687,45049.99085,46896.27542,48778.1583,50715.3372,52692.23015,54713.87713,56789.9289,58927.78439,61164.53462
Venezuela,4668605,4923222.021,5198138.569,5482987.096,5776288.986,6077209.797,6374314.202,6678933.397,6994264.01,7324840.354,7674280.757,8023652.066,8391093.722,8777605.934,9184010.536,9610435.544,10044432.02,10497940.85,10964790.25,11436386.32,11906472.78,12414605.43,12883217.43,13354714.81,13828457.41,14304105,14767970.55,15233302.5,15700729.98,16171220.7,16646090,17145475.66,17663114.46,18186363.78,18715223.62,19247947.6,19764361.68,20283725.48,20805119.58,21331178.98,21852914.79,22361160.51,22873985.16,23389578.83,23907929.38,24427186.47,24920311.4,25414134.73,25910494.68,26406600.26,26906158.76,27376335.34
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342518.223,1414552.08,1490368.024,1570161.383,1654136.954,1742511.317,1830360.878,1922602.126,1999356.268,2079135.373,2162056.714,2245363.09,2331857.751,2421662.664,2514903.148,2611710.106,2712071.303,2816265.827,2901966.522,2897481.241,2895163.494,2988512.746
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,5107221,5329816.33,5558754.687,5795307.608,6040676.768,6295975.61,6574579.806,6865531.844,7169607.155,7487420.716,7819407,8043735.243,8277022.81,8518465.804,8766838.653,9020994.6,9278505.154,9539988.073,9804242.493,10069943.36,10335639,10566773.93,10787999.87,11011087.35,11248835.53,11515169.48,11868932.5,12250335.5,12638302.56,13030067.39,13371682.59,13879772.75,14393550.13,14913812.52,15440165.95,15973641.59,16551264.43,17136508.66,17731626.85,18334645.69,18921755.57,19620185.03,20311638.74,21016897.65,21743540.15,22477770.74,23247159.64,24024742.54,24811618.25,25610158.65,26419935.86,27261671.04
Virgin Islands (U.S.),18080,19722.5534,21488.8014,23436.0234,25572.3818,27842.76,30528.1768,33428.5336,36618.4728,40041.0284,43842.96,50213.046,54608.432,61306.392,66702.96,70730.3,73176.384,71801.394,75058.752,75999.936,77742.59,79354.128,83436.204,85931.872,90129.672,90179.6,90483.465,90780.52,90207.535,89614.12,91159.95655,92476.87568,93856.35704,95211.84187,96463.60252,97506.46029,98229.08138,98941.33431,99580.64543,100111.8289,100626.8738,101070.0548,101579.1935,102134.3678,102672.1878,103249.9299,103640.2003,103928.0214,104177.1896,104391.2436,104570.8975,104649.8772
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,475203,494623.5862,524818.5449,556070.4259,588186.394,621007.0336,658653.496,697381.353,736943.573,776968.1262,817283.936,848544.6072,880062.7349,913332.6038,950488.2694,993275.127,1044615.728,1102662.166,1167252.67,1237751.605,1313656.061,1397893.961,1488659.553,1585325.706,1686919.432,1792877.761,1916639.978,2045323.859,2182390.385,2332985.059,2500879.626,2695749.023,2910099.3,3138028.67,3370181.044,3599205.667,3811517.132,4018244.203,4223378.418,4433871.73,4655349.267,4895436.272,5147602.396,5411962.462,5687857.803,5974891.338,6279384.584,6596914.042,6928172.883,7273923.751,7634748.994,8016511.61
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,551011,601586.6082,653480.5578,708251.7432,765969.1597,826729.5758,903398.0747,984197.9727,1069556.613,1160043.76,1256178.418,1337897.767,1424498.118,1515870.996,1611724.682,1711855.082,1819215.041,1931194.48,2048187.949,2170767.335,2299381.945,2374054.901,2450871.756,2529521.197,2609580.189,2690675.422,2771707.481,2853752.795,2936002.809,3017423.757,3097411.086,3142184.647,3183737.035,3223955.555,3265340.044,3309474.954,3357261.348,3407777.196,3458702.215,3506886.232,3550347.607,3674576.463,3798962.507,3925523.108,4057252.975,4196601.074,4351604.386,4515609.296,4689372.266,4873500.088,5005751.885,5277521.592
Zimbabwe,472675,504363.2481,537348.4222,572056.0715,608445.6042,646509.1194,692932.8599,741605.0664,792772.842,846773.9212,903905.479,962028.7936,1023587.756,1088376.698,1155992.2,1226215.77,1298589.658,1373668.152,1452813.716,1537997.067,1630725.768,1739888.235,1857486.304,1982734.912,2114186.567,2250480.605,2401019.59,2556416.96,2715120.81,2875154.862,3034812.276,3174678.768,3311127.871,3444701.038,3576673.126,3707786.783,3821527.65,3933243.359,4039949.707,4137493.553,4222949.246,4297938.927,4362144.393,4416956.288,4464637.217,4507848,4550018.917,4589104.162,4634713.335,4699701.226,4793495.41,4925817.31
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,287795.7993,292120.8744,296594.1912,301196.0512,305915.6342,310762.8749,315790.1254,321097.0283,326810.1,333013.3132,339649.0528,346691.1667,354231.7794,362352.814,371172.0243,380580.9335,390427.0651,400814.4836,411885.1605,423710.2697,450683.411,479384.7105,509172.3499,539120.7759,568393.6428,619874.7339,668264.9761,713959.4115,757990.1045,801491.503,825615.2352,835855.9162,841435.5797,854214.2714,889258.1584,922980.4087,962779.4236,1006412.833,1051258.718,1094437.344,1135148.573,1175119.519,1216075.227,1260108.138,1309323.136,1378153.26,1471364.654,1577806.185,1684450.034,1776568.128,1862113.979
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
