Urban population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Marshall Islands,5.099885798,6.520349283,6.978350518,7.195966438,7.095828314,6.800558037,8.124033031,7.743873288,7.600700184,7.716913229,8.006721243,7.008715836,7.291844146,7.304922518,7.007425157,6.550639574,2.945544551,2.627964444,2.541296997,2.731031423,3.083479592,5.447699762,5.641530298,5.787461086,5.879601364,5.898999454,5.760077095,5.711903934,5.421102712,4.860892581,4.153299131,2.979809192,2.350233058,1.85781217,1.548942751,1.374992233,1.232727224,1.083747139,0.9335242152,0.7699380259,0.6039268331,0.4404503469,0.3403649184,0.320746773,0.4146699785,0.5914135206,0.77971524,0.9749617369,1.189803368,1.412938727,1.635097256,1.857722141
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,9.827323196,11.74038946,11.0163196,10.39870956,9.864733749,9.399311301,11.3157516,10.64623543,10.08437912,9.613057924,9.211835186,10.82310568,10.26221057,9.774098039,9.341003893,8.953687395,9.335848254,8.942916087,8.591453534,8.274831741,7.986829772,8.299139398,8.007143741,7.727595908,7.453909579,7.192172261,5.319520593,5.209082774,5.127939112,5.081856535,5.059836542,2.79447801,2.828353765,2.857460133,2.878724731,2.893901179,2.902738852,2.910594112,2.9226438,2.940731797,2.95864039,3.07682503,3.078708435,3.055945296,3.004059085,2.932777013,3.111791057,3.040157547,2.968018388,2.897254049,2.82919585,3.012689616
Mauritius,4.252978165,5.472774605,5.064468791,4.787532748,4.540119559,4.319427337,4.762491108,4.559628586,4.379779064,4.221502456,4.083588127,2.258200206,2.181023088,2.147509532,2.17333141,2.228921777,1.109288383,1.120721883,1.111737166,1.075710898,1.006541789,1.338090841,1.167552304,0.9970137679,0.826475231,0.6559366937,1.592187141,1.521473764,1.510037498,1.498679248,1.655184586,0.7984312859,1.033918757,0.9029197619,1.116642632,0.5757060356,0.7386537227,0.9671773016,0.7656872004,0.9846953455,0.6952994723,0.8600930703,0.6255308593,0.8060017002,0.6295617983,0.5647417724,0.5665108708,0.4225071791,0.4544372398,0.3170822258,0.2692631604,0.4434906072
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,4.710062725,4.873359448,4.787710135,4.699268807,4.610377154,4.525511685,4.400699578,4.318676291,4.27821068,4.288131583,4.32639401,4.247452539,4.264324952,4.250621277,4.19844604,4.117266812,3.990331186,3.91279834,3.800300409,3.647599895,3.474556667,3.001334736,2.847456852,2.750597517,2.72690464,2.7515231,2.748504527,2.768050975,2.763043251,2.722678347,2.658439609,2.444375868,2.385814212,2.334733944,2.294918202,2.261418727,2.072230923,2.039555848,1.987627537,1.910853002,1.8201204,1.78480466,1.701095992,1.648336705,1.636412589,1.65231352,1.65803345,1.671883312,1.673138425,1.65525806,1.623395168,1.561047153
"Micronesia, Fed. Sts.",4.313306369,4.226383401,4.146763911,4.160673155,4.294627596,4.463858158,4.763265908,4.905071015,4.679821503,4.014688944,3.110673841,1.934129126,1.144569255,0.8145150555,1.120315616,1.880596024,2.39775331,3.09193691,3.592352013,3.804034926,3.81230643,3.136982938,3.152816536,3.075433937,2.904603187,2.674948923,2.359084704,2.091092835,1.945479613,1.963363517,2.069359844,1.90888345,1.978233353,1.815312061,1.358300048,0.725135779,-1.584880236,-2.218714685,-2.628073921,-2.707987678,-2.547755013,0.1744460383,0.4074083154,0.5526435823,0.5532784964,0.4515796907,0.5022443102,0.4399981654,0.4136041819,0.4434394226,0.5135473516,0.8691058494
Moldova,5.727109356,5.844947351,5.59831091,5.366621193,5.076355857,4.873035751,4.898973053,4.668201026,4.449065161,4.340394065,4.270172243,3.960026576,3.908775315,3.796858204,3.627440907,3.464630137,3.252862627,3.102307559,2.95648869,2.96355176,2.971167311,2.796558548,2.840564254,2.826218975,2.784079486,2.687239816,2.056336054,1.979999809,1.878133076,1.724153923,1.518858147,0.06983429034,-0.1198483135,-0.3090732322,-0.49891246,-0.7149629775,-0.9395449368,-0.9657264301,-0.9387011936,-0.9142347824,-0.9652680446,-0.865245684,-0.877425493,-0.9316662712,-0.9018855263,-0.9017187979,1.464040071,1.463034274,1.484880059,1.521249706,1.521425865,1.435519104
Monaco,1.309704942,0.9353006713,0.5979491265,0.377451102,0.3583678208,0.4670434997,0.6004181509,0.6966848696,0.8124504499,0.9168480317,1.022560197,1.170880196,1.301572779,1.32143392,1.199844721,1.00290522,0.7446463687,0.5548683146,0.5283873034,0.7195814709,1.06400387,1.450431808,1.764454175,1.945307625,1.965337404,1.871395505,1.747512725,1.656543507,1.576211826,1.512347437,1.463925855,1.394937928,1.315912766,1.280162712,1.297756441,1.341728977,1.416586344,1.449794884,1.373929064,1.143133515,0.8175445015,0.4601365803,0.1500800236,-0.05094531979,-0.1161390967,-0.06237419045,0.01985055375,0.07936283402,0.1160963447,0.1159617173,0.0847649237,0.05647005825
Mongolia,7.745022952,6.303190982,6.354864699,6.341982386,6.246786787,6.099561294,4.313542145,4.243979504,4.201884129,4.198640839,4.217525989,4.530716248,4.523235239,4.48628333,4.412491037,4.316854477,4.146981355,4.064589462,3.998004585,3.952347995,3.922176826,3.687284013,3.630346504,3.626739897,3.688879015,3.776128921,3.545713589,3.603616824,3.489597895,3.165356125,2.714727621,1.455044728,1.053956578,0.776605274,0.6713816187,0.6929030621,0.9461669183,0.9823001565,1.018156655,1.038831146,1.052639184,2.814573669,2.820084555,2.857510247,2.932548127,3.029615187,3.044941771,3.134942523,3.184035263,3.17911994,3.135018216,2.89830565
Montenegro,5.326195655,5.789410965,5.676558431,5.442889124,5.054601526,4.577297385,4.492216464,4.01996956,3.729343265,3.686951268,3.821359061,4.351587353,4.454407326,4.493153541,4.430625498,4.289668396,4.431371493,4.312819777,4.102532597,3.777533732,3.388621195,3.119219434,2.736174576,2.547841986,2.630452918,2.906500238,3.32502867,3.576764405,3.749742117,3.799744562,3.749445681,3.552673588,3.51261313,3.3428988,3.016770402,2.591560106,2.061266133,1.639274647,1.348172604,1.249706757,1.298940741,0.8758912251,0.9551486476,1.036981467,1.102929175,1.154927686,0.34112567,0.4283733074,0.480610448,0.4836995945,0.4516206477,0.4268019276
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,3.923953902,4.421569553,4.367197807,4.336232822,4.336134102,4.351969734,4.443112552,4.444315835,4.403457173,4.310762681,4.18758936,4.415492178,4.298814089,4.210884387,4.160346723,4.137287455,4.24423307,4.20911972,4.202058592,4.227234304,4.266830731,4.346538016,4.364171198,4.327770044,4.224694656,4.077200071,3.939406093,3.794839001,3.65767564,3.534047462,3.421056122,3.181819062,3.072554731,2.97215204,2.882329856,2.800807897,2.090098439,2.02882521,1.966608707,1.901718475,1.836881671,1.771308631,1.716134294,1.672292875,1.642252514,1.622940328,1.632339375,1.61676461,1.606705983,1.602085666,1.600569732,1.643325463
Mozambique,5.794605091,6.988239747,6.789180532,6.607047077,6.438303351,6.282359713,7.101961369,6.89636139,6.706621847,6.529040857,6.365913037,11.82929724,10.98545501,10.33064031,9.848137338,9.480053851,12.35542373,11.58630231,10.8766443,10.17851764,9.492910711,7.805719796,7.421191539,6.905814307,6.219856729,5.46132723,5.43486204,4.676997553,4.381778839,4.710208111,5.466623262,7.081555213,7.728139811,8.011134589,7.81992557,7.331968337,5.135331971,4.826395333,4.616589397,4.55281948,4.583430394,3.278291967,3.298047106,3.287160863,3.234840576,3.156382577,3.114512438,3.048001635,2.992453276,2.952042012,2.922832833,3.106593595
Myanmar,3.844678453,3.921849659,3.888632317,3.867927064,3.863801966,3.871120128,3.980502551,3.975411325,3.981052974,3.999306843,4.021364678,3.381577553,3.405888436,3.395586234,3.343209044,3.262597823,2.307397501,2.23385646,2.168322375,2.115911465,2.072509003,2.075020453,2.026873973,1.980500303,1.936011741,1.892512828,2.202549387,2.15971319,2.110131575,2.05170618,1.988690113,2.320425419,2.246319351,2.199370452,2.187958588,2.19563549,2.639855145,2.636433785,2.565680936,2.406855781,2.193355651,2.393466446,2.185176443,2.046176127,2.003446776,2.031115159,2.431142175,2.451260248,2.466181459,2.465690351,2.453042365,2.535434441
Namibia,5.087042107,4.763002675,4.753077462,4.740391252,4.723405681,4.705788704,4.797195213,4.759867766,4.766995435,4.829332937,4.916023637,4.231508039,4.31858615,4.287076068,4.112433731,3.854794498,3.651152416,3.463843997,3.331215635,3.271000178,3.277744809,3.162639507,3.170761628,3.362216702,3.772480059,4.293449268,4.836591247,5.24207825,5.379197065,5.202768812,4.837544478,5.046142647,4.702978586,4.467206346,4.376960844,4.375391694,4.663518457,4.622612728,4.500058769,4.27263073,3.985913348,3.752923709,3.502922567,3.338977666,3.287092802,3.311482048,3.414975131,3.432770749,3.424620173,3.376011653,3.299813548,3.27072806
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,4.143917983,3.269327809,3.286956242,3.311314938,3.342806567,3.378521731,3.214074269,3.252607743,3.286736164,3.314962121,3.337861654,6.581187523,6.431822154,6.290291275,6.154305256,6.024077813,7.436023806,7.196535958,6.977671008,6.77680957,6.592006982,6.529669587,6.365255199,6.212474936,6.069900517,5.937535273,6.263642553,6.117349705,5.991064691,5.885925632,5.795773363,6.956440038,6.780979568,6.616214267,6.458776406,6.306998073,7.033230368,6.823895001,6.622532657,6.426520827,6.235179996,4.822744019,4.720103874,4.605735984,4.477252896,4.341479097,4.022066265,3.90208401,3.797460431,3.712615795,3.64235823,3.761474854
Netherlands,1.962937526,1.649786088,1.75785145,1.680760641,1.668949639,1.702736306,1.604296587,1.431377833,1.335893932,1.454434548,1.534521781,1.680924553,1.500557108,1.314331963,1.268312987,1.373693249,1.278211859,1.085423761,1.103665273,1.176309184,1.275007939,1.293971999,1.062811655,0.9798451036,0.9939697509,1.059819699,1.142267287,1.218407246,1.226587212,1.177047938,1.262432739,1.982603013,1.936526838,1.863688899,1.756181039,1.63402174,1.550878152,1.592507499,1.68288952,1.720493145,1.758756169,1.629401451,1.505270747,1.331341513,1.199677573,1.078664149,0.8009281798,0.8537621577,1.021510576,1.14253076,1.137247012,0.9481500871
Netherlands Antilles,0.484991091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,7.605338819,8.350239846,7.035400402,6.223301898,5.791876242,5.6496645,5.415065875,5.643270086,5.944598793,6.258616269,6.532675901,6.587731358,6.251927828,5.744323647,5.139751558,4.494491459,3.196110341,2.440274868,1.928075529,1.796084169,1.90585212,1.186038749,0.8334113676,1.105338149,4.006595588,2.050220925,0.8901604671,2.008719647,2.107669456,3.00954793,2.524313194,2.63569016,2.797676439,2.959484874,3.121273142,3.283043367,2.612267517,2.886796744,2.206303976,2.586398233,2.449979088,2.352701291,2.347695431,2.345308361,2.346207175,2.305347056,1.314732589,1.232452197,0.2433538492,0.2415309323,0.1647989456,0.5738717854
New Zealand,2.735149199,2.757892789,3.29485519,2.733701695,2.836550915,2.385625836,2.351011174,2.342078,1.430928345,1.445499775,1.905288188,1.904220966,2.177150924,2.364497729,2.490765511,2.349273166,1.042685979,0.4690087309,0.1894429534,-0.2344897127,0.2822685785,0.4434675464,1.052162131,1.418141939,0.9237993172,0.6764173761,0.2305522088,1.116419031,0.528379229,0.7333081536,1.175836731,4.984359552,1.18092638,1.27922863,1.468041923,1.602975976,1.663254757,1.392886217,0.9677430238,0.6058829803,0.6678979432,0.6767858218,1.824598156,2.060905474,1.573489784,1.215968116,1.251982716,1.071877081,0.9885922713,1.125617653,1.230628631,0.9059748942
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,4.286179552,4.669087712,4.577519435,4.51104187,4.477537218,4.466518804,5.008153373,4.974781737,4.946316278,4.922028428,4.899461524,3.775127616,3.773465719,3.770746139,3.767039496,3.759119981,3.540095996,3.519062822,3.480311974,3.421513777,3.347895557,3.280428365,3.213433552,3.122485367,3.003495862,2.872976879,2.725374727,2.602212277,2.553482308,2.598558007,2.699443235,2.8157029,2.891363141,2.895271814,2.806337967,2.655627031,2.500193967,2.363942695,2.233331693,2.115011977,2.009301941,1.902097487,1.805443151,1.736959051,1.703248113,1.696154304,1.738026433,1.736783059,1.750585484,1.779954067,1.817401448,1.931840333
Niger,4.58665106,6.3180016,6.256800962,6.188247368,6.106604635,6.016991073,8.656499426,8.356364762,8.08349275,7.833840538,7.604615976,8.773810334,8.444996772,8.153654471,7.896500574,7.665816789,6.449280206,6.332820248,6.205376073,6.06217269,5.913521976,4.421112322,4.36230308,4.317824992,4.290830704,4.279823497,3.91721072,3.927656839,3.965756692,4.035154268,4.123159383,3.662122005,3.749509179,3.822651474,3.876992304,3.916189532,3.963159902,3.995909581,4.01213734,4.010381077,3.997685979,4.142855558,4.127379416,4.123613618,4.134965057,4.154938219,4.576493443,4.583772241,4.582112916,4.569387634,4.549896686,4.950689829
Nigeria,7.088102705,6.89446992,6.709239978,6.53470446,6.366702061,6.208439626,4.765532278,4.720984599,4.689150732,4.67207044,4.667810727,4.850928321,4.83237061,4.852436088,4.918476526,5.005576443,5.274660319,5.330595057,5.306061526,5.183390894,5.001046298,4.94350037,4.771502226,4.650405383,4.596921984,4.587505101,4.704695432,4.681704416,4.63924437,4.569336714,4.482659663,4.46302784,4.388562941,4.320124543,4.259620029,4.206933868,4.129166229,4.084821744,4.05601059,4.045241689,4.046446578,4.001686128,4.005989141,4.004133404,3.993217982,3.976266098,3.894423775,3.880601332,3.868583932,3.859200649,3.851086849,3.76846182
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,5.560731247,5.547626371,4.745134437,4.323747957,4.446328634,4.921179872,6.707374352,7.001195403,7.11373228,6.963377379,6.645641028,6.33922087,6.348853285,6.008088325,5.232905189,4.321092753,2.084903219,1.361460128,2.121503068,4.7652209,8.379804949,10.7120083,12.71978879,13.14353452,12.19832753,10.69651885,9.231680177,8.217899819,7.462808886,7.002758737,6.708369122,6.03584458,5.637317774,5.28635016,4.991520694,4.705340328,4.649337337,4.353814126,3.844111744,3.064803604,2.137208529,1.227463011,0.4360127338,-0.2816962579,-0.885563478,-1.372986716,-1.934467982,-2.415311865,-2.457878906,-1.860711907,-0.7819466626,0.5417829281
Norway,0.712470844,3.812450288,3.733071155,3.602400799,3.522904164,3.470295851,3.481623183,3.449659294,3.387176074,3.298059029,3.149668881,1.551240105,1.607586472,1.53524478,1.449162603,1.373889199,1.158260584,1.107189876,1.061663185,1.015849074,0.991979571,0.5607276455,0.5834579204,0.5467736043,0.4974516639,0.5142581651,0.5377054694,0.6487392935,0.718286607,0.5928466569,0.5238669766,0.9777744442,1.07595093,1.091524612,1.063232578,1.010543028,1.133136336,1.164577036,1.213918104,1.29946518,1.25999501,0.8757573494,0.9076394191,0.9535294769,0.9565857816,1.045395641,1.220583313,1.448208382,1.658104313,1.671209982,1.65407406,1.618490864
Oman,7.862082392,9.311975994,8.931948187,8.602016928,8.309982412,8.059775276,9.033561063,8.766954782,8.577219085,8.461195956,8.406680851,9.141859292,9.052543019,9.069444777,9.196337407,9.37198364,9.918622764,9.954337861,9.925293291,9.822500987,9.656442596,9.562240914,9.360856014,9.042003293,8.598487343,8.097608993,7.368248867,6.883911036,6.603313973,6.569106857,6.655804233,5.811689953,5.883154928,5.574659554,4.813475279,3.803782272,1.16174998,0.3141227854,-0.1824701408,-0.185859532,0.1827336535,0.755072337,1.128933449,1.521034801,1.891657616,2.22290528,2.839868778,3.148314607,3.268853632,3.162953925,2.909479894,2.608172328
Pakistan,4.624025467,3.660431425,3.695792832,3.72467158,3.746579625,3.764008889,3.698423926,3.72159376,3.741662175,3.758314789,3.775244307,3.963203528,3.981171619,4.020688271,4.086040197,4.166322716,4.391898741,4.450797242,4.50605621,4.556201614,4.597011259,4.31099046,4.3296479,4.326336603,4.299193308,4.251752652,4.174173868,4.118604864,4.025662242,3.890442259,3.733353094,3.576897821,3.424097984,3.334122624,3.323645583,3.35969735,3.442277123,3.463838088,3.413051219,3.26985268,3.071242738,2.886044006,2.713404954,2.594984251,2.548867746,2.553362445,2.600909527,2.602054866,2.602322659,2.596521813,2.585300571,2.724857839
Palau,,3.202323752,2.991314779,2.755308348,2.524039999,2.268376149,1.993106741,1.725146182,1.609576704,1.630059988,1.762942226,1.988222419,2.149208185,2.07784988,1.706417957,1.161180219,0.4908052953,-0.02530965214,-0.1530806309,0.2543133555,1.02555404,3.048728889,3.779621963,4.199771824,4.166239098,3.862610609,2.706818607,2.45780687,2.37320316,2.536379285,2.828983513,3.026954108,3.22150057,3.319366949,3.288118427,3.15865598,2.106286782,1.976530602,1.767960463,1.476179993,1.137188433,3.380163503,3.018292699,2.732534342,2.584534565,2.530378793,1.974497308,1.961006303,1.952912134,1.969742972,1.986460317,1.55948976
Panama,4.214759514,4.442058011,4.418426547,4.399257067,4.387254196,4.377341374,4.377391379,4.354880961,4.316804865,4.260367581,4.191861439,3.365642198,3.309207593,3.257044877,3.211419267,3.169371724,3.133314012,3.089732894,3.038185876,2.97714168,2.910984918,2.942008522,2.88261399,2.830799539,2.788315525,2.753741666,2.765765581,2.735416679,2.715571345,2.70774031,2.707744202,4.297357581,4.251136909,4.20316444,4.151500203,4.096653335,3.946079782,3.89550841,3.839892041,3.778220174,3.712461744,3.38839233,3.330501279,3.273770746,3.219195433,3.165982991,2.81065169,2.764637246,2.717044273,2.667418349,2.616730048,2.316634809
Papua New Guinea,8.420348223,10.6740297,10.00790008,9.46519557,9.023782247,8.662431244,16.84987974,15.06023364,13.715289,12.68707514,11.87821358,7.031726469,6.965377697,6.855329034,6.688768295,6.488770271,4.621613931,4.523290156,4.453589812,4.42358325,4.41736652,4.168387363,4.161269838,4.125570579,4.053619106,3.96111123,3.929647126,3.851229394,3.798674415,3.778964134,3.782534448,1.242595389,1.245694585,1.256130508,1.273505118,1.292578745,1.364339158,1.376426986,1.368145136,1.334932328,1.284500341,1.595646455,1.550232025,1.507850815,1.471180652,1.437611273,2.207643882,2.179766852,2.147240786,2.109099141,2.067613801,2.80599667
Paraguay,2.908741988,3.013210487,3.022107634,3.030048456,3.036996241,3.040901347,3.13215103,3.135161403,3.110965845,3.053918539,2.979630128,3.489610808,3.425433083,3.393538133,3.402307023,3.440390275,3.878930671,3.903803644,3.947735089,4.012233139,4.084550309,4.435102735,4.479964694,4.488967775,4.454385621,4.389051172,4.497669364,4.420881341,4.339322857,4.255193864,4.16958681,3.971576537,3.887318356,3.804892381,3.725335397,3.648932942,3.483786318,3.413287462,3.349284168,3.292821867,3.24200917,3.17111371,3.124892087,3.077504157,3.027854264,2.977525764,2.851122936,2.806059171,2.767805266,2.73783667,2.71326534,2.607995445
Peru,4.044163796,4.986906074,4.98003393,4.952952354,4.901105206,4.833761881,4.943085938,4.870573828,4.810300975,4.766238442,4.732233936,4.188632697,4.163431053,4.135571008,4.104240689,4.068690034,3.730185602,3.696867241,3.649679199,3.586251363,3.512729505,3.181745239,3.112279662,3.053216222,3.008153757,2.971662906,2.862002327,2.822884356,2.775420702,2.717013077,2.651554127,2.586291814,2.520270137,2.461526214,2.412628135,2.3692335,2.341248514,2.296150779,2.236414735,2.157680259,2.067428547,1.950722343,1.870306802,1.798373355,1.737973287,1.688340654,1.609100806,1.566295974,1.543979883,1.546510447,1.565861548,1.537808301
Philippines,4.14628913,4.196529857,4.171054064,4.12284972,4.047276059,3.956684018,3.907056643,3.827790956,3.768488545,3.734233255,3.717276396,4.427245196,4.394692297,4.363099015,4.330806574,4.298435456,3.899483036,3.878140561,3.860096474,3.84584704,3.832890886,5.723745234,5.630648084,5.538141467,5.445248314,5.35128541,5.252152288,5.16173232,5.059202298,4.941684127,4.81656255,2.310064117,2.243029484,2.191630012,2.160536038,2.142792129,2.125848943,2.103346607,2.078948796,2.051159664,2.019705828,2.135330602,2.105812521,2.06012552,1.994393168,1.917537451,2.074195256,2.003293243,1.955033002,1.936248048,1.93753413,2.179042707
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,3.587241606,2.02439717,2.063217668,2.234201247,2.285643747,1.871639495,1.542299555,1.749893103,1.738733297,1.558273717,1.125718834,1.567543148,2.015692542,2.083119004,2.121144954,2.141621859,2.007872256,1.963842982,1.78414024,1.782554657,1.894118652,1.544887645,1.553271468,1.566694287,1.529664294,1.424776165,1.123181793,1.004373598,0.8526986225,0.7979844684,0.826831607,0.4274452449,0.3793945569,0.3271112464,0.2836199044,0.208275929,0.1485764736,0.1379051329,0.1081506132,0.06404218318,-0.4633154734,-0.6206068487,-0.1306824842,-0.1519274808,-0.1430188669,-0.1285265583,-0.2298068417,-0.2210187604,-0.1533547589,-0.09950824179,-0.0835014785,0.002196540906
Portugal,1.908597278,1.892556609,1.797394949,1.467888662,1.108578238,0.6343522986,0.2917664344,0.4007609122,0.5968168378,0.1166723119,0.1176179841,0.5893930924,0.848347483,1.023614727,2.37780311,4.77377165,3.823128247,2.031294325,2.039186039,2.023090315,2.023568078,2.034945303,1.765714921,1.605173801,1.512885075,1.389281335,1.239788707,1.108841057,1.019079129,0.9646385998,0.8804125192,1.170609327,1.32788912,1.416890779,1.488818955,1.520252292,1.552870267,1.593200756,1.62485473,1.652209162,1.745318541,1.815553524,1.877486724,1.833015067,1.703364453,1.560227899,1.343468694,1.229251569,1.12550492,1.077869783,1.019289374,0.878053784
Puerto Rico,1.885974151,4.838024689,5.078507142,5.093099566,4.781475728,4.296882962,3.795578796,3.326163687,3.09611166,3.24480774,3.614649227,3.124446492,3.463104734,3.627833897,3.526361712,3.269392832,2.963523101,2.757329516,2.588640949,2.490430029,2.436241091,1.800659811,1.733164546,1.680745281,1.647194543,1.62597576,1.828722327,1.804629111,1.781320633,1.757126455,1.730450639,4.769494113,4.548944612,4.599005293,4.549664421,4.41800389,2.832368105,2.611050525,2.228711899,2.127727583,1.87752328,0.8441897118,0.7550363553,0.6847933335,0.6388186186,0.4703134674,-0.1912456007,-0.3539371719,-0.3555293388,-0.3147869039,-0.2639139872,-0.3172819495
Qatar,7.309045701,8.637017256,9.426809395,9.708817246,9.481359448,9.013444373,8.30046857,7.96491392,7.899528405,8.125510547,8.453686061,8.78172297,9.029826529,8.728555286,7.878164511,6.866245691,5.665532828,4.924237872,5.245808599,6.759247865,8.725454041,10.50752811,11.31237123,11.12450586,10.04104023,8.561134759,7.709557323,6.705197267,5.66379419,4.579999367,3.531152961,2.399941102,1.560402999,1.127761326,1.220282455,1.720188784,2.456261347,3.419005598,3.994468985,4.036095169,3.906529965,3.088576056,2.851377735,4.826425871,9.24879775,14.03576517,17.78191951,18.83491563,17.21328438,13.74056785,9.846987792,6.252592522
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,3.335002839,2.821405766,2.630364371,2.587749375,2.546523594,2.460494583,2.343020095,3.008107731,2.69480754,2.378108,2.507682572,2.275753021,2.178437747,2.065070992,2.119593101,2.428208102,2.705720112,2.423166903,2.351361251,2.067769909,2.102564984,2.310972547,1.961160098,1.817910597,1.767320961,1.887339876,1.885765864,1.803932301,1.861179732,1.820750826,1.527220573,-0.661456211,-0.6966538945,0.0702730745,0.06057809306,0.003215049418,-0.5730856778,-0.5736684651,-0.4935697444,-0.4443918151,-0.417681684,-1.486785566,-1.588406907,-0.3722247923,-0.3546833489,-0.3249311027,-0.2047455174,-0.1777732654,-0.1430699826,-0.1431704943,-0.1862183037,-0.169618337
Russia,3.270343721,2.750784547,2.724325104,2.698705955,2.673887696,2.64983335,2.03605301,2.014847191,1.994245778,1.974223292,1.954755669,1.832432546,1.816789621,1.801530788,1.786642072,1.772110167,1.698775392,1.688956456,1.679329262,1.669888249,1.667331205,1.28835869,1.245312369,1.211491698,1.366856001,1.382498616,1.125788103,1.103939171,1.053212254,0.9898790782,0.7874501093,0.2176371461,0.03772938433,-0.1197206367,-0.1299621431,-0.1375414513,-0.2777289682,-0.300869864,-0.2813180132,-0.4084433211,-0.01009945057,-0.3564442242,-0.5609947793,-0.5979437945,-0.6349156628,-0.6026225068,-0.257300861,-0.08368462338,0.09140767214,0.1684525663,0.2032960486,0.2408462014
Rwanda,5.092549355,6.038612642,5.948032218,5.862672854,5.783081502,5.709921437,6.020717651,5.938401799,5.86746952,5.808532584,5.759140239,8.021575396,7.811798639,7.632349051,7.4818408,7.351170887,6.834507128,6.747079699,6.64673435,6.528794276,6.401070775,4.534746082,4.33336615,4.355415925,4.656703616,5.050643333,5.837986341,6.240510557,5.589527104,3.699581646,1.119145735,6.690128909,2.888826273,0.8684777389,1.969363824,5.800163306,16.51563393,19.20337282,19.70887703,17.83893294,14.86645757,9.659241622,7.848330573,6.653142368,6.291386866,6.500000051,4.010311498,4.22913252,4.377010023,4.403766836,4.348434131,4.588377236
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,1.373602645,1.322043781,1.272749242,1.225573062,1.18038156,0.4827713596,0.4392670655,0.3975225109,0.3574330373,0.3189021245,-0.1527118122,0.06557665346,-0.1655919125,-0.1728316436,0.04951273262,-0.2034445201,1.488825824,0.6330974853,0.2125318301,2.098879722,0.4283943042,0.4054770404,-1.243668864,-2.687508182,-2.491285078,-0.7015911794,-0.7028950255,-0.7042083389,-0.7055312231,-0.7068637831,-1.054801739,-1.036007758,-1.017242007,-0.9985049324,-0.979796989,-0.874963109,-0.8790990897,-2.0722925,4.604817686,4.11266199,3.61026283,0.8608036533,-0.4317263397,3.415574556,0.8539823629,1.203037767,1.198449205,1.187952793,1.177644168,1.161793271,1.494792594
St. Lucia,2.671034161,2.673249235,2.681873325,2.645270054,2.609679972,2.575060614,2.687841147,2.651002721,2.615189836,2.580359218,3.04078642,2.447109307,2.321093238,2.483859638,2.35928918,2.331417566,2.341120771,2.403675699,2.285974517,2.259919675,2.234456873,2.668444728,2.71539687,2.429489147,2.480967083,2.529664077,2.527162523,2.41665827,2.463731903,2.357063607,2.403492348,1.57780844,1.013369619,2.160572265,2.138264469,2.077295213,-0.005216781377,0.6262416475,0.3740166461,-0.009276948213,0.3122971243,-2.336284584,-2.898293206,-2.888396497,-2.84707005,-2.973788085,-2.966451312,-3.229784296,-3.42068199,-3.629297723,-4.12213882,-2.629232392
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
