"Total GDP, PPP",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Sri Lanka,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,910234214,929492364,949158631,969240770,989747312,1010688321,1032071631,1053908120,1076206433,1098976756,1122228548,1145972058,1170218323,1194976898,1220260406,1246077709,1272442261,1299363753,1326855713,1354928665,1383596217,1412869728,1442762887,1473287895,1504459289,1536290120,1568795013,1601987103,1635881104,1670492545,1705836234,1761357661,1818686525,1877880549,1939001754,2002112509,2067277157,2134562969,2204038484,2275775334,2349847460,2426330224,2505302350,2586845096,2671041303,2757978519,2847745013,2940432924,3036138454,3134958669,3236994838,3182408078,3043211841,3080057904,3050035186,3097798601,3153750029,3194690099,2913568288,3148291353,3423954489,3683241596,3922058669,3991656788,3881118600,3643666196,3531763339,4154052397,4099465638,4073536927,4768153441,4815916856,4982406472,5061557273,5102497343,5368607796,5483239991,5760267795,6087788352,6521753090,6888849047,6555869814,6529941104,6950259152,7019857270,7051244657,7242298315,7517961450,7532972809,7213640266,7695368419,7531608140,7550713506,8103404446,7987407582,7606664935,7954655526,8374973574,7721297129,8243965352,7823647304,7665345701,7957384864,7890516084,8389984933,8916747162,9582705628,9625010367,9828346046,10331908902,9852910087,9435321377,9012273991,9141917545,10094456498,9528118869,9526754200,10188618658,10108103188,9866556777,10471105139,10746768274,11175274336,11033348761,10149043258,10125843885,9824252039,10308709529,11459125485,12198776076,14089441608,14756849303,15228656054,15332935032,15596197620,16406784674,16445743635,16621360111,17053338755,17230197063,17774223325,18052912312,18629452763,18963257133,19844128682,20454080999,20215689076,22065527269,23710252274,24664444900,25856113924,25663081416,26223522675,27321437425,28299885125,29038361375,29952908754,31965199746,33962421061,36111967694,38057347737,40425772063,42380482292,44583914600,46847648647,48855275243,51286398187,51756782684,53084432898,54446624731,57919132029,60604425316,63211095705,67362850118,70793976925,74324005607,76756858081,81230654024,84585030639,87861274778,92960334982,91577434998,95449465887,101471377245,107391230467,114268064775,123422982854,132155662439,140309782901,145519213648,157399676094,170729011057,182042954430,195348497080
Sudan,2071392069,2074130827,2076872696,2079618715,2082368882,2085121643,2087879071,2090639092,2093403261,2096171580,2098943010,2101718071,2104496761,2107279082,2110065552,2112855652,2115648864,2118446743,2121247215,2124051836,2126860088,2146354579,2166027007,2185880386,2205915129,2226134293,2246538309,2267129208,2287909041,2308879338,2330041642,2351398053,2372950143,2394700048,2416648817,2438799171,2461152744,2483710622,2506475583,2529449308,2552633486,2576029821,2599641180,2623468729,2647514218,2671780574,2696269589,2720982479,2745922236,2771090699,2796489721,2822121168,2847988125,2874091291,2900434399,2927019396,2953847015,2980921065,3008243544,3035815844,3063641235,3091721768,3120059510,3148657176,3177516237,3206640724,3236031507,3265692029,3295624478,3325831055,3356314636,3387077462,3418122458,3449451907,3481068114,3512974740,3545173466,3577667333,3610459411,3643552117,3676947200,3710649171,3744659829,3778982367,3813618613,3848573209,3883848034,3919446389,3955370895,3991624193,4028210381,4065131435,4102391518,4139992648,4177939051,4216232052,4254876673,4293875764,4333231450,4372948865,4413030190,4453478371,4494297899,4535491019,4577061522,4619014005,4661350018,4704074218,4747190533,4790702140,4834612241,4878924856,4923643244,4968771489,5090153804,5214502113,5341886732,5472383910,5606068333,5743020043,5883316556,6027039968,6174275353,6325106035,6479622211,6637913364,6800071129,6966190402,7136367341,7310701514,7489294944,7672252168,7859676807,8051681972,8248376485,8449876595,8656298963,8867763053,9084393824,9306318047,9533661524,9766559887,10005146584,10249562532,10499950723,10756454658,11019224277,11288413206,11564178855,11846679247,12136082761,12633900613,13186975467,13744057431,14350183922,14990797707,16512405094,16226703560,16832094010,18761095386,19038619271,18969256529,20214833634,19568973024,19311584639,20618749733,20314716771,19629608991,20791886595,22051879780,21098786832,22553090802,22081982350,20208384000,22252767498,25083359801,29687493374,34180454910,33532606559,29893801456,30077472350,30716758868,34617146168,34195089409,32330824511,29967868465,31018738333,31738776263,32170872318,34668870586,31684023267,33717436864,35384925011,36392327502,37075221213,38173259054,40119140801,44077345500,46551033105,49925769855,54520738370,57582045846,60756156962,64783522885,67846683727,73511482065,79981764628,86735511490,89356457063,93250994251,94850978521,116365475497,111919057649,114669543311
Suriname,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,137151199,139102467,141080419,143087102,145121123,147184557,149277762,151401100,153554935,155737836,157953769,160199494,162479034,164789109,167131934,169509778,171921190,174364670,176844413,179360868,181910610,184497925,187121309,189783169,192481988,195220205,197996288,200812712,203667929,206564450,209502780,212481342,215504803,218569502,221678047,224830966,228026643,231269911,234559179,237894998,241277928,244710758,248189623,251719566,255301214,258930631,262612968,266348873,270136668,273979315,277875120,281827090,285835905,289899847,294021990,298205478,302446156,306747170,311109245,315533115,320022046,324571758,329188073,333871805,338618602,343434409,348320068,353273789,358296380,363394012,368559534,373801863,379119219,384509763,389979887,395525005,401151603,406855040,412641895,418510333,424461330,430498769,436620790,442831337,449128531,455516377,461995975,468565423,475228818,481987295,488842002,495794098,502844755,509998291,521506975,533277627,545312701,557621228,570205803,583075796,596237429,609693521,623453980,637525419,651914590,666628386,681673842,697058139,712788606,728876697,745326195,762148987,779353213,796942971,814926556,833321112,852126859,871361561,891025549,911137228,931701720,952728819,974233331,996220790,1018706566,1041696482,1065206497,1089247915,1113832276,1138971360,1164677192,1232796808,1299392856,1366746880,1436758179,1510859905,1589958233,1674392527,1763913766,1857802953,1955164688,2055414685,2158649974,2265957767,2379002243,2498556423,2626440724,2761038745,2895254351,3018787524,3123856676,3321213548,3470844230,3603538835,3698819459,3339021670,3660712145,4070405929,4326919841,4092767836,3741714468,3982831043,3774550912,3580787552,3477251744,3941235164,3874126849,3606722906,3950115197,4165752148,4036912439,4166674199,4233928040,4039508726,3930533516,4063649805,4128159212,4236628173,4382304114,4292859570,4484750069,4776175908,4931981829,5309660167,5742121309,6111646585,6462779379,6785694594,7037821713,7218470582,7484583148,7803530981,8224838482,8595958805
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42426279,42625219,42825093,43025904,43227657,43430355,43634004,43838608,44044171,44250699,44458194,44666663,44876109,45086538,45297953,45510359,45723761,45938164,46153573,46369991,46587424,46805877,47025354,47245861,47467401,47689980,47913603,48138274,48363999,48590783,48818629,49047544,49277533,49508600,49740750,49973990,50208322,50443754,50680289,50917934,51156693,51396572,51637575,51879708,52122977,52367387,52612942,52859649,53107513,53356539,53606733,53858100,54110646,54364376,54619296,54875411,55132726,55391249,55650984,55911937,56174113,56437519,56702159,56968041,57235170,57503551,57773190,58044094,58316268,58589719,58864452,59140473,59417788,59696403,59976326,60257560,60540114,60823992,61109201,61395748,61683639,61972879,62263476,62555435,62848763,65318245,67884010,70550959,73322590,76203196,79197143,82308862,82993731,83683976,85230250,86805545,88409607,90043763,91707756,93402125,95128260,96886756,100501969,104251610,108141380,112176277,116361450,120703146,125206884,129878348,134724378,139752051,144965665,150374702,155985908,161805180,167842835,173427192,179196337,185158706,191318517,197683504,204260501,211056547,218077689,225333785,232830100,259375098,288946296,321889290,358587520,378668374,390418759,405709208,429209701,443657683,461503788,480084907,494180079,523089395,594454566,669288651,808676001,852503405,974966122,1124555822,1170596068,1280790136,1221435803,1273382915,1652758662,1683027751,1893291145,2000876618,2232063656,2318601266,2400727778,2478455521,2545380670,2581536376,2634723723,2808192065,2967602256,2968058572,3020283057,3209754928,3338940892,3644418828,3545907010,3763751846,3827530325,3855557162,3844622365,3930799782,4119443003,4330240976,4482824986,4650693862,4805244811,4982503377,5097128698,5183456612,5325806008,5457129305,5594613962,5771535696,5939165762,6781563867,7019029012,7134044350,7296690243,7335004354,7487900485,7709669125
Sweden,3505320776,3476162337,3646863769,3634855484,3422866098,3667883235,3729881708,3585401912,3393104411,3217005724,3442024563,3687174811,3467969696,3552106129,3596906568,3751339943,3868289324,3801709578,3873111238,3873328304,3957174221,4110601572,4173962750,4184098471,4362108453,4546222101,4624410362,4461221413,4579997336,4676660807,4590481014,4712297194,4615130511,4799008036,4910866161,4944092653,5164675280,5177981979,5129847876,5212157958,5320585667,5302737483,5107358675,5272403117,5556523592,5750201967,5615336798,5811446292,5916805037,6196306140,6436081412,6381019983,6305859722,6436666386,6553376159,7031091977,7028033145,7276002317,7416385784,7768153264,8030860075,7853703201,7695454872,8098252037,8334609924,8565530151,8510880795,8722531150,8000541592,8594051962,9707740418,10085584822,10371124102,10605801860,11125009813,10810318929,11586026225,11418156258,11113198437,11825881533,11663851069,12169995001,11771294607,12721671550,12501828097,12792874373,12975334424,12663398469,12948233688,13209511597,13566861737,14342426263,14265052117,14693581336,14859317697,15690862646,16240453146,17010459468,17725022092,18315112779,18481790230,19079826170,18969456137,20117292276,20607835698,20451883799,22230650040,23894073007,23328495096,23618779650,24251728936,25019695183,26205721897,28077475331,28914563844,30155697036,32013340397,30263104282,28147780649,28611107776,30557246004,29245027845,31580468471,32764509349,35212348261,36179919679,38107387130,39487008845,40694336914,43224058173,45152235775,44084380173,42504172517,43381840922,46350114949,48653118575,50415544301,51814756587,53573654851,57639690239,53532861956,52179640452,52795798315,54849042943,56908652253,59063960376,65489717548,71517613906,73142472709,76275796740,82160610636,82188434916,84404795373,85484443169,90662722682,93084607286,96828002822,99542129210,100573586003,105171309062,109332963959,116476898310,121571310961,126841992853,136566095721,142763661618,144412716911,149226135187,155665842575,162665639664,170478632295,173043251655,173928421043,181652052924,196359489139,199276529947,200049243191,194230461932,196505615843,205254586242,207034546376,206065990621,210564835591,213572677580,222329632485,225206917662,233357873196,240322330387,247210642553,253160279706,252546631450,243825547769,245443341633,241337156421,251267695522,263816419173,268009600028,274941883162,283416610913,294022640401,308725485278,312193426977,318943348020,325801508629,340148725130,351475669969,367318217681,379987362360,377178546628,358023878870,380196548975,394271163688,397174852157,402072407452
Switzerland,4024245002,4048013201,4071918849,4095969105,4120160078,4144492297,4168970743,4193591509,4218359595,4243273319,4268333229,4293542118,4318898299,4344406829,4370063770,4395874200,4421836433,4447951039,4474220862,4500646487,4527226222,4602108609,4673406044,4750393702,4826102995,4902875080,4983149964,5062114934,5144662265,5225878340,5310758135,5396840336,5481558807,5570066632,5659824739,5750849585,5843157832,5936766353,6031692235,6130729375,6228371070,6335887530,6447834097,6558532767,6673764153,6790686273,6909321868,7029693965,7151825888,7278821587,7404576467,7596957443,8077909882,7797702809,6929897320,8098820858,8090456467,8782609760,11078634883,10528676225,9156916224,9809338663,10557951590,10553769395,9991264151,10838158664,10737785981,9439214395,11151823298,12203645372,11670415493,12471305860,11885798542,12220374152,13696689031,15212734763,14865612568,13416481958,13665322567,13627682811,14543583543,14800788544,14365840251,14401388909,16030353910,17289194642,17968801350,17887248545,18311741350,18330561228,19633315009,18518760009,20130996229,20940250986,20457207449,22711410621,23299009035,24499299036,24940520622,26165903793,26450293061,26161721598,26768139891,26251638793,27650583062,28319734282,31307912698,31596484161,31100894039,32721494650,33827685260,34565842699,34923420382,34467561114,34495761846,34834170628,34724501115,30926802563,30817133050,32844452327,34975174287,34107218430,37409837467,39575026988,41050865287,44049543104,46255467015,48737131415,51460068743,53252381921,52907706310,50701782399,48978404343,51425601182,51529003865,51322198499,51494536304,53941733143,56009786810,55940851688,56526800227,56147657055,54734487049,54251941193,55561708516,71520189311,76414582990,85617421807,87340799863,84962538146,88474633630,95709505993,96437621445,99839421367,105682318526,112954823457,120238161724,124416562469,121506330290,129403411302,137952849921,147726905506,153660629167,161069799446,170014590084,176810153272,182214382593,188062822028,194694000670,204971512890,218060785210,226119270280,233038503131,240239760122,244161434931,228922793235,228175502864,233837057358,233468264358,238030708048,247525955827,250342721512,246108115189,247475468969,255420156523,264394038746,268653177662,270285894221,278148795584,289717683742,299863373196,296691506188,296843764243,296827100305,300639414276,302461136154,304851244852,311412970938,321189521150,325289027136,336871048052,340552294279,341895550032,341378151668,350757542054,359967034808,373939237553,388485198343,395194304840,380378455174,389877828147,395111518596,396632543865,403469266304
Syria,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1136450000,1145755539,1155137109,1164595286,1174131519,1183745535,1193437924,1203210159,1213061968,1222994840,1233009394,1243105360,1253284251,1263545798,1273892440,1284323008,1294839051,1305442142,1316131098,1326907495,1337772935,1348726220,1359769899,1370903718,1382129311,1393446426,1404855753,1416358961,1427956766,1439648913,1451437099,1463322055,1475303529,1487384241,1499562952,1511841409,1524220368,1536701611,1549283881,1561969990,1574759702,1587653805,1600654129,1613760443,1626974600,1640296370,1653726566,1667268139,1680919807,1694683476,1708560000,1730569334,1752863197,1775442780,1798314810,1821480546,1844944606,1868710544,1892783096,1917165922,1941863882,1966878398,1992215585,2017879292,2043873411,2070203082,2096871094,2123882695,2151243213,2178954327,2207023953,2235455115,2264252122,2293420606,2322963710,2352888484,2383198177,2413898687,2444994676,2476490853,2508391984,2540705601,2573435266,2606585934,2640164003,2674174569,2708622782,2743515275,2778857343,2814654345,2850913150,2887637802,2924836788,2962514286,3011895457,3062099677,3113140294,3165032239,3217787547,3271424342,3325954849,3381392881,3437755368,3495057838,3553315925,3612545366,3672760478,3733980256,3796220763,3859498169,3923830287,3989235051,4055730515,4123333306,4192063261,4261938799,4332980016,4405204026,4478632742,4553285095,4629181708,4706343345,4784792482,4864547013,4945632852,5028069757,5111880788,5197087568,5283716646,5371788365,5461328000,5236418343,6582432916,7452634847,8545350596,7711515322,9133994648,9698353815,8351809543,8650329964,8780949068,9462994579,11659300786,11607685413,11824706489,11752698746,10814150259,11675972223,12078480888,14304762991,13725121389,15012304569,18695025743,17028966527,21046711978,25037299392,27643195913,27150853018,29367134561,30288525463,33780685884,36867330641,37430281725,37748177320,35994743847,37937565765,35792569809,36179295400,40652722474,36744977757,39196942878,41655937447,44445095858,49013959399,52589775891,55517646075,59034733795,60045589478,64117894310,61747246802,62920814082,65168447242,69071225887,69936322295,71923846534,75027051198,78720148788,82890573528,86134449242,90641962988,94087405867,93862487240,93593930227,
Taiwan,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1951661054,1957878829,1964116169,1970374050,1976651496,1982949484,1989267037,1995604157,2001962794,2008340999,2014738770,2021158059,2027596916,2034057293,2040537237,2047038700,2053559732,2060102285,2066666357,2073249999,2079855161,2086481845,2093129074,2099797825,2106488098,2113198917,2119931258,2126685122,2133460509,2140258396,2147076829,2153948017,2160841705,2167756917,2174694630,2181654844,2188636583,2195641799,2202668541,2209717786,2216789532,2223884757,2231001508,2238141738,2245304472,2252490685,2259699402,2266931599,2274186301,2281464483,2288766145,2304235994,2319809327,2335488735,2351273873,2367166370,2383165879,2399273045,2415489518,2431815959,2448252022,2464799380,2481458704,2498230671,2515115959,2532115253,2549229238,2566459642,2583806130,2601269402,2618851205,2664095035,2710121309,2756942049,2804571521,2853024141,2902313404,2952454020,3003461927,3055349991,3108135541,3161619371,3203746770,3849777607,3714023957,3067714117,3291128170,3680178680,3830706817,4318076886,4450202600,4235324610,4064670033,4505044720,4418372796,4644052427,5035444102,5706730325,5507180952,5712321179,5704009442,5980537399,6750192973,6997657441,7642927689,8100101229,8277108527,8307379938,8562090702,9033456748,9413473323,9557617211,10149879005,9872173750,10413704262,11512749860,12207066289,12378904579,13225874786,13021618644,12167105430,11728309320,12332672465,11478645544,9812069095,5374563360,5825464611,6503092977,8507867471,10294817988,13444996833,14442794587,16258394999,17795189944,19504660440,21025710052,21777504321,23477147503,25005638423,26743788726,28990784997,30894013897,33701123319,38271967720,43343028764,46684065755,51483465945,57016748003,62756580951,68660639931,75656410557,86506669780,100111997504,111605503258,107566216741,114644528005,135287718859,150866057488,170532899727,182174584652,190934507385,204066362517,213990051275,236275543774,260877075593,271443901328,315352357295,347648604380,358221018462,392823675884,414329547924,450733045160,480092833616,513695575701,550328628001,581366581311,619416111442,662424253406,696039531066,723013884184,758761810668,735115344371,769151050786,785395714693,815121240511,835955136802,857993936768,886034399074,837219095543,838344773726,899930699240,901171475696,912596372947,931002355765
Tajikistan,273254811,273316701,273378604,273440521,273502452,273564397,273626357,273688330,273750317,273812318,273874334,273936363,273998407,274060464,274122536,274184621,274246721,274308835,274370963,274433105,274495261,278543446,282650519,286818926,291048751,295340678,299696004,304115435,308600298,313150705,317768623,322454808,327210019,332035023,336931867,341900074,346942363,352058268,357249905,362518771,367864415,373289006,378794088,384379891,390047982,395799951,401636733,407559953,413569889,419668883,425857233,432137326,438510185,444976842,451538342,458197161,464954385,471810390,478768445,485828961,492993078,500262681,507640427,515126032,522722939,530430885,538253373,546190919,554244803,562418624,570712176,579128342,587668489,596334782,605128626,614052235,623107853,632296146,641621014,651082353,660684131,670427094,680313636,690345354,700526369,710856668,689117162,812519880,788149439,738986232,742098592,685428777,756638498,864623853,991270778,924965480,1027258704,1018511343,1054341935,1128158232,1113150774,1150463667,1260616383,1183451196,1319687780,1177844680,1135140825,1099883030,1211199771,1268025215,1364352832,1271056189,1384807821,1466949421,1412528157,1465907632,1314198236,1163578936,718274907,624423544,632193594,583499182,682985209,793241859,1013350110,1276945858,1445728922,1518615356,1610330805,1642686042,1731196168,1761484382,1748805056,1829751022,2014371166,2322451407,2501158239,2731319387,2746401055,2881534642,2784619002,2755209088,2726108064,2697314474,2668826739,2640637749,2612747791,2927276386,3334863102,3672833214,4011575859,4075761605,4395680047,4647925361,4937281997,5421402544,6005772631,6196864858,6741683572,6756339604,7512479763,8094577275,8499091552,8505612662,9839103682,10644925506,11411491892,12169663064,13152892252,13622785319,14994397989,15735742117,16180828426,17939990729,18373789517,18317330402,19043421399,19342763921,19671210179,19430424646,19321284410,19368903096,19714345086,20215493011,20344785432,20427333472,21191198026,21407250284,21796736283,22067800979,21372263289,19440376455,13118222370,10996292429,8648877629,7565061479,6287724133,6373047079,6677708311,6875871329,7375782339,8034738341,8687128140,9448027280,10317288412,10879131256,11530270369,12316267964,13176167338,13590767400,14510495605,15433483623,16486682542,17599729919
Tanzania,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1786562855,1797432646,1808368087,1819370093,1830439585,1841575697,1852779953,1864052687,1875393629,1886803716,1898283286,1909832071,1921451624,1933142294,1944903203,1956736533,1968641409,1980618795,1992668428,2004792519,2016989567,2029261176,2041607083,2054028277,2066525126,2079098000,2091747268,2104473937,2117277751,2130159085,2143118954,2156157743,2169276477,2182474262,2195752127,2209111754,2222551600,2236074004,2249678719,2263365492,2277136033,2290990094,2304928741,2318952386,2333060784,2347255009,2361536145,2375903951,2390358848,2404901932,2419533632,2434254382,2449063940,2463964768,2478955279,2494037268,2509211183,2524477471,2539836584,2555288974,2570835785,2586476788,2602213133,2618045286,2633973715,2649998889,2666121279,2682342061,2698661714,2715080721,2731599568,2748218742,2764938730,2781760737,2798685259,2815712799,2832843858,2850078942,2867418556,2884864657,2902416315,2920074773,2937840549,2955714168,2973696887,2991789239,3009991759,3028304247,3046728717,3065264976,3083914309,3102677271,3121553669,3140545551,3159652733,3178876529,3198216753,3217675485,3237251790,3256946997,3276762450,3296698736,3373708052,3452516095,3533165918,3615698630,3700159562,3786593661,3875047037,3965566198,4058200399,4152997750,4257392546,4364412322,4474121700,4586589029,4701884047,4820076306,4941239948,5065449765,5192781201,5323314373,5457127681,5594305053,5734931151,5879092186,6026876745,6178375823,6333683660,6312306770,6291002725,7096706354,7257293893,7014448369,7601336360,7801852833,7912452113,8117419918,8199796110,8614478845,8977239498,8881893161,9696389322,10311537828,10878467148,11271301453,12716388884,13227156291,13915098778,14176174559,15007330978,15655585012,16701390688,17230626174,17651058395,18615136510,19994515555,20588317488,21214260705,21511194446,21734768610,21535767013,21866159457,21810110349,22391322218,22375166521,23125865020,24274575676,25288036107,26198890700,27249901958,27957328451,28263119602,28614903920,28895599789,29887501773,31483084122,31341097084,32494569361,33639197761,35352566366,37641569657,40497104267,43000770978,46192819288,49691031737,53038909460,56830181311,61056539438,64733335044,69292550672,73761086714,79430757633,85078089376
Thailand,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3719348046,3738367953,3757485122,3776700642,3796014006,3815426307,3834937839,3854548897,3874259779,3894072394,3913986238,3934001612,3954118818,3974339781,3994663999,4015091778,4035624241,4056261700,4077004467,4097853672,4118809633,4139872668,4161043095,4182322055,4203709050,4225206046,4246813373,4268530533,4290359506,4312299797,4334351739,4361510336,4388839010,4416339125,4444011218,4471857496,4499877668,4528073115,4556446060,4584996221,4613724991,4642634610,4671724803,4700996977,4730453390,4760093773,4789920395,4819933838,4850134687,4880525227,4911106051,5009896103,5110672606,5213477112,5318349356,5425331641,5534465291,5645794271,5759362493,5875215686,5993399536,6113960625,6236946444,6362406417,6490389949,6620948437,6754132233,6889995801,7028592599,7169976042,7314204939,7404964243,7496849565,7589875499,7684055654,7779403750,7875935853,7973664810,8072606938,8172776445,8274189911,8404767712,8537199732,8671499487,8808824720,8948051897,9089194792,9232267258,9378441339,9526579961,9676697239,9853350168,10033331589,10216667216,10335730725,10456139999,10577875414,10699758513,10876058848,11055554748,11238204377,11423966218,11612799073,11835285221,12061670689,12291904209,12527056899,12765948205,13070908409,13383498347,13816508998,14263247494,14723874958,15143175466,15573919136,16017377446,16472552459,16940728317,17316859274,17605277614,17898900489,18197712246,18494787627,18939697075,19388340887,19847597113,20317434228,20800113046,21262389241,21735206589,23551489181,25113367569,26402855405,29190004803,28823990403,31181096732,31563385474,31808476969,32885686733,36783192574,41192550431,43307453981,46653016452,50421228526,53863070631,58162371319,64736743220,70190948425,76005528763,82035238270,87486087103,91683511611,95641051259,105405924191,110391792097,116165131401,127116066784,139959561830,154105203423,162324344390,169647853516,179884105743,189749879618,200663063539,212683777468,223256013693,236534479812,260150644127,295828709872,332649189463,369865483982,400694433056,431261725254,464971966134,504356698846,548770335660,580136815108,572114169084,512788304087,537251028069,565186610641,579818364908,613220606223,657854780821,701576973064,734993538045,774026242410,816632296314,838067932638,822040593707,886683600642,889700440644,948209626489,975499524593
Timor-Leste,72062550,72194238,72326166,72458335,72590746,72723399,72856294,72989432,73122814,73256439,73390308,73524422,73658781,73793386,73928237,74063334,74198677,74334269,74470108,74606195,74742531,75709942,76689384,77682008,78687328,79705406,80736850,81781726,82840096,83912026,84998133,86097930,87212037,88341081,89484016,90642025,91815181,93003556,94206660,95426252,96660718,97911824,99179084,100462574,101762371,103079122,104413479,105764381,107133052,108519578,109924043,111346531,112787707,114247079,115725314,117223082,118739894,120276422,121833344,123409588,125007003,126624514,128263394,129923154,131604484,133307487,135032856,136780106,138549934,140343042,142159542,143998946,145862562,147749903,149662284,151599223,153560835,155547842,157560969,159599735,161665475,163757710,165876565,168023388,170197699,172400243,174631153,176891180,179180460,181499134,183847959,186227079,188637257,191078020,193550759,196055626,198592773,201162980,203765776,206403203,209074164,211779451,214520490,217296185,220108603,222956649,225842400,228764761,231725184,234723849,237761579,240838560,243954978,247112311,250310106,253549203,256830447,260154038,263520827,266931021,270385478,273884408,277428678,281019161,284655418,288339644,292070746,293976145,295893500,297824191,299766940,301722464,303690814,305671375,307665535,309672681,308963976,308257715,307551893,306848553,306146360,305446009,304747519,304050228,303354833,302660670,301968441,301277477,300588482,299900787,299214407,303206319,307398909,311834197,316544767,321555775,326881386,332526774,338489437,344760531,351328333,358185249,365331390,372776051,380535674,388612622,396736301,404817870,413223022,422472369,432778116,444863341,458227432,470412720,488604178,500409045,503946085,500206906,493203923,489224370,493234700,507675119,531647343,562836081,596972018,630665676,662588832,693679277,725309638,759932408,799263928,884390835,975782614,1074479525,1181181158,1295166240,1440179688,1507295017,1481988855,958106794,1090954640,1276984515,1202531704,1188687222,1204589230,1309415427,1262990269,1396351748,1581144830,1763628341,1917965748,2142449354,2339784181,2540073944
